# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = gpa_model
# start_datetime = 2023-01-12 14:38:11 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 2912177928 (Default)
# output
#   file = examples\gpa\gpavar.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,log_p__,log_g__,nationality,perfect,gpa
0,-6.37995,-1.8083,0.0356984,0.60624,7.09062
0,-inf,-0.845072,0.541342,0.298056,9.01368
0,-inf,-3.05325,0.96159,0.0999954,0.966622
0,-inf,-0.897956,0.88137,0.281524,7.3254
0,-5.54208,-1.79122,0.962071,0.346793,2.54259
0,-6.42122,-1.56881,0.0998654,0.745785,1.06867
0,-inf,-1.29935,0.930603,0.209227,4.77512
0,-5.70735,-1.08514,0.0920191,0.709151,2.60705
0,-inf,-0.0160391,0.509894,0.424368,5.22274
0,-5.37404,-0.857991,0.114785,0.72911,6.37937
0,-inf,-2.99468,0.978868,0.176958,8.36199
0,-5.20951,-0.729347,0.467829,0.845267,2.13315
0,-6.67563,-2.23404,0.0218076,0.384452,5.12402
0,-inf,-3.75661,0.247357,0.00970227,5.60196
0,-inf,-3.25772,0.53568,0.0193438,0.970538
0,-inf,-0.871868,0.510528,0.663013,9.10135
0,-5.37252,-1.58045,0.193398,0.861708,8.97653
0,-4.38798,-0.147072,0.2845,0.449802,5.57824
0,-inf,-1.14052,0.573996,0.66321,9.35121
0,-5.04341,-0.560425,0.197842,0.624173,2.23054
0,-7.35179,-3.13733,0.205797,0.983892,4.51276
0,-4.12358,-0.662894,0.490248,0.646528,8.81752
0,-inf,-3.61183,0.744011,0.300684,9.9167
0,-6.4541,-2.36939,0.915157,0.91469,1.17794
0,-inf,-4.76053,0.736698,0.990177,9.32612
0,-5.86117,-2.15267,0.52842,0.701793,0.223427
0,-4.35247,-0.127906,0.421548,0.607359,6.69095
0,-4.84773,-1.06331,0.879875,0.666758,1.58883
0,-4.79114,-0.42672,0.160728,0.535184,4.49325
0,-inf,-0.502714,0.583751,0.735022,8.06901
0,-inf,-4.1765,0.569321,0.012282,9.28558
0,-inf,-2.53812,0.948804,0.495399,9.49228
0,-inf,-1.50728,0.941379,0.30231,7.78786
0,-inf,-6.10232,0.053177,0.00463424,6.28183
0,-4.05867,-0.591496,0.256195,0.648865,8.2195
0,-inf,-2.37985,0.193008,0.0444454,1.29299
0,-inf,-1.26813,0.637225,0.422967,9.46195
0,-inf,-2.4036,0.719994,0.0241925,5.37181
0,-inf,-1.37462,0.196443,0.094052,7.71792
0,-4.31182,-0.0969715,0.447713,0.425884,6.67954
0,-inf,-2.67845,0.56051,0.0835255,9.68654
0,-6.21326,-1.63505,0.293949,0.938329,7.88527
0,-inf,-3.02642,0.930084,0.0727635,0.690372
0,-inf,-0.874965,0.818612,0.792163,7.74337
0,-3.86347,-0.462508,0.473199,0.334298,8.32829
0,-7.63141,-3.11948,0.0145317,0.796172,2.96739
0,-5.69192,-1.9966,0.673307,0.954962,1.72307
0,-3.79407,-0.331912,0.695378,0.313581,2.70698
0,-inf,-1.6731,0.654878,0.186253,9.49134
0,-5.94835,-1.30489,0.139181,0.879882,7.09456
0,-inf,-3.04068,0.922844,0.943456,9.08274
0,-inf,-0.970533,0.84452,0.195644,7.67986
0,-6.51172,-2.8653,0.170782,0.415314,9.83843
0,-inf,-4.72196,0.747058,0.859689,9.94698
0,-4.53702,-0.24302,0.32142,0.58216,7.19597
0,-4.92086,-0.528744,0.135336,0.524501,5.10687
0,-7.1239,-3.32155,0.984005,0.843499,1.91933
0,-6.4712,-1.98809,0.0273119,0.550884,6.20735
0,-inf,-0.50775,0.53367,0.342014,8.47342
0,-5.95599,-1.21917,0.163686,0.146343,1.86096
0,-5.15167,-0.739672,0.359595,0.116198,4.27975
0,-inf,-0.990006,0.735162,0.901832,4.95262
0,-7.19966,-3.47038,0.843486,0.98002,1.33348
0,-6.44556,-2.4529,0.0790422,0.83384,9.38285
0,-inf,-0.762319,0.798821,0.741498,7.99635
0,-inf,-0.58256,0.839173,0.61972,7.17171
0,-6.74818,-1.90592,0.305443,0.147398,0.46125
0,-6.72007,-3.03038,0.432717,0.116192,9.82072
0,-4.74929,-0.398529,0.209909,0.702702,4.89234
0,-5.06895,-0.623373,0.129574,0.355106,4.19335
0,-inf,-5.20124,0.833128,0.979409,9.814
0,-inf,-1.00117,0.423645,0.0915252,2.82768
0,-6.15576,-2.24375,0.746437,0.205926,0.282115
0,-5.64296,-1.79974,0.527404,0.846681,0.458998
0,-4.6563,-0.311514,0.247112,0.617259,3.16073
0,-5.70611,-1.95402,0.0446096,0.737389,8.19004
0,-4.20876,-0.0305373,0.488905,0.577404,4.21237
0,-inf,-0.396423,0.782483,0.274616,5.03332
0,-3.91642,-0.507669,0.426423,0.712241,8.22289
0,-7.21134,-2.43057,0.253782,0.783099,0.235006
0,-inf,-2.11372,0.288487,0.0304254,5.17893
0,-5.24705,-0.759927,0.366686,0.133394,2.67727
0,-inf,-2.78653,0.979654,0.161656,6.77662
0,-2.94455,-1.52307,0.896141,0.102994,3.42371
0,-6.20441,-1.44542,0.261058,0.881044,1.12621
0,-6.62116,-3.33014,0.49902,0.349667,9.91306
0,-inf,-1.89941,0.179118,0.0558019,2.19554
0,-4.60232,-0.948184,0.568965,0.520346,0.70507
0,-4.83187,-0.433685,0.319725,0.30915,7.79992
0,-inf,-1.12179,0.784911,0.572782,9.17596
0,-7.10508,-3.08526,0.970275,0.458435,0.481795
0,-inf,-0.449142,0.511254,0.180322,6.65114
0,-6.07455,-1.3631,0.327395,0.758646,0.607504
0,-inf,-0.485205,0.811157,0.427265,7.33348
0,-5.45666,-0.897901,0.195072,0.155316,7.06939
0,-inf,-1.83493,0.805131,0.0720139,8.52013
0,-5.90216,-2.06787,0.186387,0.799195,9.56814
0,-inf,-1.95929,0.948745,0.155799,7.6615
0,-5.0551,-0.606562,0.330539,0.773092,7.9279
0,-inf,-0.919525,0.919816,0.453174,5.90814
0,-inf,-1.99262,0.741619,0.0907662,9.27074
0,-inf,-2.65606,0.875219,0.124832,9.59334
0,-4.60327,-0.284134,0.30161,0.544679,7.4127
0,-4.6538,-1.04657,0.395452,0.22523,9.07435
0,-inf,-1.32531,0.514707,0.216641,9.35764
0,-5.85163,-2.00922,0.0556154,0.351888,9.02115
0,-8.69455,-4.95764,0.928286,0.796907,0.0625753
0,-6.21779,-2.22701,0.813148,0.932269,0.914929
0,-inf,-1.59154,0.925161,0.757547,8.42794
0,-4.40334,-0.735209,0.791846,0.591051,1.43427
0,-7.23367,-3.73326,0.661324,0.985283,0.986366
0,-4.66826,-0.342182,0.333364,0.233687,6.18687
0,-4.7843,-0.407677,0.180534,0.563699,3.57741
0,-7.03643,-2.3321,0.0319824,0.144746,3.56526
0,-4.58905,-0.282599,0.283749,0.276613,5.10207
0,-inf,-2.27737,0.231558,0.0745842,0.643838
0,-inf,-2.49861,0.950137,0.0643541,4.25148
0,-5.6061,-1.85621,0.200554,0.927838,8.52204
0,-5.55417,-2.0049,0.481829,0.640701,9.74575
0,-inf,-0.822281,0.628357,0.85326,7.85538
0,-4.55471,-0.270836,0.458889,0.220587,4.39674
0,-inf,-3.96218,0.989865,0.763978,8.75942
0,-inf,-4.97612,0.0883741,0.0209851,0.304349
0,-5.83568,-1.21198,0.12427,0.125828,4.22892
0,-inf,-0.445716,0.516643,0.474063,8.49029
0,-6.25455,-1.55648,0.0926974,0.110876,6.35
0,-5.89341,-1.25715,0.165492,0.106549,7.00627
0,-6.24054,-2.58738,0.981415,0.459514,2.20857
0,-7.55852,-2.86478,0.0220034,0.141769,7.25313
0,-6.34564,-2.6805,0.360819,0.18032,9.80694
0,-5.76603,-1.19228,0.0720114,0.250449,5.17978
0,-3.40071,-0.836924,0.745294,0.871563,3.61942
0,-5.26368,-1.43692,0.780094,0.413362,0.525317
0,-inf,-2.45844,0.967805,0.797374,8.36337
0,-4.84902,-2.21427,0.975693,0.700586,3.65048
0,-inf,-0.100097,0.663373,0.396354,5.4094
0,-5.02997,-0.647316,0.429068,0.12512,4.21587
0,-inf,-2.37429,0.280634,0.0791664,0.488832
0,-4.84268,-1.15989,0.541536,0.893769,1.59141
0,-3.81486,-0.43181,0.49887,0.410127,8.40491
0,-8.0484,-3.01539,0.0423613,0.77063,0.467594
0,-7.20756,-2.49335,0.0328763,0.879513,6.73461
0,-6.17417,-1.86701,0.443673,0.964937,4.74949
0,-4.85212,-0.434125,0.368091,0.681963,1.91531
0,-inf,-3.36426,0.602975,0.0224416,0.670175
0,-inf,-2.51976,0.0627405,0.0555589,6.70151
0,-inf,-2.00864,0.0764556,0.0752373,3.94574
0,-6.2447,-1.8087,0.412164,0.95709,7.3443
0,-6.93255,-2.22642,0.0378047,0.864939,3.57052
0,-inf,-0.88347,0.718407,0.39238,9.01489
0,-inf,-1.62683,0.559674,0.862073,9.35053
0,-7.22993,-2.28069,0.0527734,0.314248,0.725221
0,-4.90782,-1.23125,0.253597,0.28134,9.23058
0,-inf,-5.95458,0.689365,0.978476,9.92091
0,-4.7414,-0.380802,0.314933,0.260939,7.00669
0,-5.03018,-0.559668,0.178679,0.627976,2.56457
0,-5.24848,-1.41414,0.684485,0.811553,0.683146
0,-6.98234,-2.98527,0.0562404,0.787658,9.59933
0,-inf,-2.60808,0.587012,0.193203,9.80737
0,-inf,-3.12281,0.139108,0.0295738,1.12855
0,-5.96211,-2.11442,0.965303,0.731755,1.94446
0,-4.30578,-0.0934994,0.459222,0.487029,6.8045
0,-inf,-2.2427,0.557702,0.737002,9.76937
0,-6.95299,-2.97185,0.918574,0.566197,0.212622
0,-5.42179,-1.46874,0.871804,0.222833,1.01667
0,-4.55008,-0.270528,0.473518,0.217547,4.68342
0,-6.52443,-2.74498,0.13473,0.680757,9.78222
0,-inf,-2.19914,0.901859,0.771537,9.46215
0,-7.38616,-3.37171,0.0374854,0.816309,9.55914
0,-10.0564,-6.10492,0.0224793,0.992121,5.14481
0,-inf,-1.08087,0.539625,0.371637,9.34091
0,-inf,-1.97007,0.726047,0.123028,9.45419
0,-inf,-3.46437,0.856914,0.984461,6.73587
0,-2.5905,-1.38899,0.709662,0.0609405,3.73286
0,-inf,-0.837716,0.907556,0.364383,5.502
0,-4.82694,-1.10502,0.754317,0.875474,1.97684
0,-inf,-0.0871765,0.629696,0.422912,6.08404
0,-7.02391,-3.02187,0.043214,0.221059,9.51657
0,-7.2194,-2.68657,0.018262,0.307607,7.41326
0,-7.55682,-2.5118,0.0947685,0.181873,0.427645
0,-6.85294,-2.89336,0.159044,0.932459,9.51515
0,-4.85268,-0.432361,0.319492,0.671899,2.0486
0,-7.84858,-2.93119,0.211339,0.952289,0.545124
0,-inf,-3.45637,0.989972,0.782069,5.28278
0,-7.24684,-2.49502,0.0776042,0.949553,2.94497
0,-6.69473,-1.96478,0.0872644,0.921203,6.89666
0,-inf,-0.763065,0.732926,0.197089,8.00562
0,-4.12239,-0.602206,0.60237,0.155321,2.90915
0,-4.47881,-0.185659,0.377668,0.486195,2.61794
0,-inf,-3.32504,0.933976,0.128339,9.6694
0,-5.16745,-0.644027,0.226281,0.238818,2.3367
0,-inf,-0.202547,0.618219,0.266655,5.3038
0,-inf,-3.72713,0.989519,0.85961,6.44335
0,-5.07773,-1.23411,0.860643,0.547547,0.924754
0,-5.79394,-1.24415,0.202899,0.910973,3.66661
0,-inf,-1.11436,0.912286,0.72914,7.10068
0,-4.60629,-0.980701,0.158482,0.740876,8.26307
0,-inf,-0.172287,0.732253,0.53294,5.8226
0,-4.60881,-0.967422,0.748664,0.875669,2.64508
0,-inf,-1.01479,0.836749,0.128852,4.112
0,-inf,-0.488386,0.800843,0.745249,4.69917
0,-inf,-0.141519,0.689813,0.622796,4.59446
0,-6.38002,-1.7184,0.0573137,0.851973,4.64942
0,-inf,-1.4952,0.909823,0.225919,8.50048
0,-5.42594,-0.904133,0.097304,0.294913,5.95103
0,-3.82116,-1.18009,0.939528,0.491126,3.48278
0,-4.31446,-0.0899463,0.484852,0.581645,3.26924
0,-inf,-0.772382,0.697922,0.564413,8.91491
0,-inf,-3.99284,0.988358,0.526984,9.33172
0,-4.44672,-0.802609,0.543995,0.740109,1.10417
0,-inf,-3.53854,0.958898,0.925509,9.2889
0,-5.22477,-0.796298,0.357596,0.109777,3.9859
0,-5.92977,-1.19216,0.174667,0.682939,0.940276
0,-7.5145,-3.57277,0.981345,0.418406,0.516084
0,-5.40471,-0.845279,0.113521,0.615435,2.52494
0,-4.14385,-0.557341,0.748147,0.558337,1.63175
0,-inf,-0.81492,0.906431,0.491669,6.2608
0,-inf,-0.815183,0.790801,0.809642,7.55714
0,-inf,-0.121921,0.697913,0.566388,5.39681
0,-inf,-4.03013,0.97279,0.0409433,1.39583
0,-5.2717,-0.903077,0.448868,0.908389,5.24007
0,-5.6565,-1.06394,0.136567,0.844994,3.45975
0,-inf,-1.51645,0.918241,0.870827,5.8435
0,-6.09446,-2.16962,0.0955807,0.773385,9.41856
0,-4.41722,-0.770635,0.874955,0.568006,2.35058
0,-5.84158,-1.1751,0.132206,0.142125,2.94138
0,-4.76754,-0.417364,0.428379,0.200213,6.82181
0,-4.74136,-1.01344,0.873318,0.187509,2.92885
0,-inf,-1.39625,0.525986,0.921555,8.26866
0,-7.26989,-2.44493,0.0525566,0.915781,7.62148
0,-4.36248,-0.145976,0.448512,0.705296,5.45491
0,-8.31018,-3.50144,0.0164356,0.265347,0.85348
0,-inf,-1.1422,0.718611,0.15621,8.71867
0,-8.41927,-5.38848,0.354873,0.992903,9.4688
0,-7.0837,-2.93003,0.963773,0.159919,0.775291
0,-3.0907,-0.598355,0.681381,0.838676,3.50971
0,-4.59889,-0.879129,0.711426,0.210036,1.36914
0,-inf,-1.82004,0.9018,0.485539,9.3788
0,-inf,-1.71659,0.619677,0.102671,0.730849
0,-4.72414,-0.37935,0.315778,0.763663,3.5059
0,-6.37571,-1.6152,0.061402,0.211464,2.30095
0,-inf,-1.48063,0.683599,0.067422,7.85257
0,-inf,-0.48087,0.54278,0.824497,6.58398
0,-6.08176,-1.46259,0.0562384,0.229955,4.16554
0,-4.58492,-0.270271,0.334035,0.434627,7.51634
0,-5.70023,-1.04817,0.101638,0.315795,2.16381
0,-5.44617,-0.89863,0.137184,0.186545,5.99423
0,-inf,-2.43941,0.0549405,0.0629071,5.12261
0,-3.98998,-0.4641,0.58715,0.269751,1.91736
0,-inf,-0.497162,0.714726,0.348753,8.08465
0,-3.25454,-0.737748,0.63478,0.869785,3.16461
0,-inf,-1.01568,0.759254,0.126828,2.26109
0,-inf,-0.637118,0.698852,0.530111,8.68612
0,-4.28391,-0.0681777,0.457829,0.458447,3.37967
0,-5.14536,-1.45118,0.210127,0.620447,9.4177
0,-6.52105,-1.77873,0.087826,0.897822,7.22919
0,-inf,-2.34051,0.971834,0.836488,4.68318
0,-inf,-2.13745,0.11938,0.0473723,3.6949
0,-5.35714,-1.63193,0.354802,0.864552,9.30468
0,-5.39438,-1.63406,0.25891,0.206794,9.43746
0,-inf,-0.960666,0.75603,0.119982,7.05617
0,-5.86568,-1.14051,0.127393,0.391045,1.21979
0,-5.02802,-0.588207,0.148951,0.582105,6.93736
0,-inf,-0.349383,0.716606,0.244534,5.74357
0,-inf,-1.16231,0.538031,0.266378,9.30696
0,-inf,-1.48964,0.902908,0.111138,6.10873
0,-5.01411,-3.17976,0.429478,0.0187778,8.76471
0,-5.20068,-0.750689,0.443946,0.121616,2.97643
0,-6.70146,-1.88404,0.151148,0.480473,0.399758
0,-inf,-2.93359,0.953649,0.711597,9.57342
0,-inf,-3.35796,0.613567,0.0147455,8.35922
0,-4.27237,-2.00976,0.205099,0.0879252,9.1413
0,-4.60915,-0.295698,0.23652,0.605155,6.3842
0,-inf,-0.623533,0.652184,0.138632,4.0667
0,-5.01712,-0.58995,0.134013,0.449212,6.39021
0,-5.5573,-0.93903,0.372497,0.284567,0.890212
0,-inf,-2.18544,0.845873,0.880289,9.37253
0,-5.05316,-0.617614,0.127573,0.362103,4.61601
0,-3.96495,-0.484979,0.534538,0.179789,2.92155
0,-3.86726,-1.72556,0.167676,0.0757801,8.04238
0,-inf,-0.102243,0.632983,0.508854,6.47684
0,-5.53272,-1.68976,0.74653,0.318555,0.401262
0,-4.56812,-0.265733,0.414619,0.291887,7.07694
0,-inf,-0.985744,0.707998,0.904942,5.49381
0,-4.9611,-1.40655,0.456033,0.538797,9.56283
0,-5.09644,-0.633749,0.189064,0.744262,7.00833
0,-7.55011,-2.90386,0.0214456,0.121093,6.20299
0,-inf,-0.464095,0.816327,0.497137,7.17133
0,-inf,-1.31991,0.942512,0.333626,6.61207
0,-inf,-2.64835,0.683747,0.658185,9.8411
0,-5.08837,-3.35552,0.420388,0.0155443,8.58174
0,-inf,-0.816093,0.860553,0.354265,7.90137
0,-inf,-1.38232,0.675737,0.513066,9.51603
0,-inf,-0.440346,0.829472,0.646354,5.27862
0,-inf,-0.497862,0.765088,0.783914,5.42243
0,-inf,-0.959009,0.269905,0.0990799,5.27974
0,-inf,-0.663484,0.805061,0.543867,8.24524
0,-4.80938,-0.435442,0.297995,0.772576,3.32109
0,-5.20343,-0.749372,0.273301,0.135241,6.15363
0,-inf,-1.77937,0.625536,0.950942,7.8555
0,-4.73267,-0.411009,0.463627,0.175235,5.71208
0,-inf,-1.33309,0.291827,0.0816367,2.08736
0,-5.70492,-1.12423,0.0749257,0.304314,3.48023
0,-3.88797,-0.486407,0.426071,0.678641,8.29664
0,-5.18536,-1.50793,0.342395,0.902255,8.82481
0,-4.61239,-0.271536,0.436582,0.333659,2.38349
0,-6.60919,-2.12432,0.0247441,0.633121,4.02389
0,-8.49497,-4.1679,0.086234,0.987534,3.0205
0,-4.28037,-0.0754475,0.353436,0.415801,4.73208
0,-4.55312,-0.262256,0.38358,0.260314,6.36455
0,-inf,-0.298654,0.660694,0.532261,7.74701
0,-5.06977,-1.25652,0.707661,0.831492,0.959157
0,-5.35741,-1.55594,0.632851,0.25924,0.442059
0,-inf,-3.03011,0.688259,0.785767,9.8607
0,-4.60035,-0.305199,0.304641,0.745458,5.03772
0,-4.18238,-0.672364,0.281129,0.281769,8.35738
0,-inf,-2.59393,0.944544,0.053284,4.04417
0,-inf,-1.57609,0.653589,0.952303,4.90329
0,-inf,-1.97979,0.42291,0.0320752,3.63857
0,-8.17741,-3.13238,0.0531564,0.779899,0.336486
0,-inf,-2.30741,0.872662,0.0505802,8.15618
0,-inf,-2.23387,0.700642,0.947658,8.99087
0,-7.16013,-2.42399,0.335253,0.956768,0.929193
0,-8.0077,-4.83131,0.278096,0.991269,9.23694
0,-inf,-1.30161,0.371556,0.0679476,7.11553
0,-inf,-3.70714,0.796587,0.0234949,0.559616
0,-7.26763,-2.51635,0.167407,0.487126,0.204563
0,-6.45323,-2.51055,0.0943802,0.775847,9.59358
0,-6.70854,-2.74264,0.972927,0.343264,0.903811
0,-7.6902,-3.00894,0.366864,0.167007,0.14358
0,-6.09152,-1.34627,0.23073,0.316715,0.628376
0,-inf,-1.30779,0.907167,0.768758,7.97186
0,-5.49618,-1.68818,0.0837823,0.636131,9.06278
0,-4.48656,-0.838236,0.538252,0.695483,0.944912
0,-5.88177,-1.18735,0.300228,0.282777,0.704356
0,-inf,-2.42792,0.95755,0.905128,6.96177
0,-5.56181,-0.913469,0.254275,0.213005,1.40644
0,-inf,-0.742129,0.844539,0.674938,7.7033
0,-5.4489,-0.911545,0.161433,0.151203,5.49404
0,-5.03474,-0.553316,0.324135,0.553586,1.39732
0,-4.2614,-0.0741968,0.492686,0.651735,5.37644
0,-inf,-0.763822,0.534192,0.878873,6.8441
0,-3.93443,-0.426086,0.557463,0.390356,1.58308
0,-inf,-0.246254,0.737553,0.322482,4.95949
0,-9.5655,-5.02835,0.00850297,0.93802,1.72939
0,-4.53127,-0.234353,0.321513,0.664548,3.30914
0,-inf,-1.42563,0.830967,0.922282,4.29845
0,-4.38058,-0.734656,0.649003,0.20485,1.60806
0,-2.40705,-0.0925819,0.643759,0.51663,3.63825
0,-inf,-2.41069,0.115163,0.0604791,1.24432
0,-inf,-3.89997,0.0221498,0.0510979,1.83854
0,-inf,-0.945291,0.821805,0.269689,8.47091
0,-inf,-2.85572,0.980296,0.207111,7.91193
0,-inf,-1.40606,0.482317,0.0553097,6.64344
0,-4.33386,-0.112356,0.386179,0.332119,4.76792
0,-inf,-2.318,0.972539,0.814639,6.06904
0,-inf,-0.294913,0.783406,0.616292,4.30993
0,-3.0405,-0.576338,0.58081,0.847017,3.35695
0,-8.17622,-3.04143,0.0837652,0.105199,0.405786
0,-4.91469,-1.20281,0.806593,0.89259,2.68166
0,-5.75113,-1.7672,0.920057,0.694161,0.894367
0,-inf,-3.74134,0.762819,0.0283446,0.383385
0,-8.02902,-3.04982,0.172886,0.947563,0.481857
0,-inf,-1.37593,0.75368,0.0642763,4.46525
0,-5.10052,-0.591605,0.245719,0.543936,1.57266
0,-inf,-0.233838,0.732052,0.342742,4.07859
0,-4.17586,-0.667314,0.241442,0.375754,8.44164
0,-5.84103,-1.26492,0.0618203,0.660348,3.36849
0,-inf,-0.409756,0.679159,0.479157,8.14056
0,-4.65195,-0.985231,0.587583,0.57058,0.690582
0,-9.11382,-5.86145,0.0553002,0.282928,9.96163
0,-4.05096,-0.506659,0.731785,0.241947,2.62101
0,-inf,-2.19177,0.54666,0.0931773,0.442551
0,-6.20992,-1.89414,0.429594,0.965079,5.81763
