# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = gpa_model
# start_datetime = 2023-01-12 14:36:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 20000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 2912102498 (Default)
# output
#   file = examples\gpa\gpaMCMC20k.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,nationality,perfect,gpa
-2.92972,0.665929,0.154407,1,3,1,4.49976,0.227209,0.366509,9.49223
-2.55639,0.428063,0.154407,4,26,1,5.39739,0.175509,0.361836,6.33452
-1.83929,0.999319,0.154407,4,15,0,2.45532,0.488168,0.306474,8.74041
-1.83929,0,0.154407,0,1,1,2.43601,0.488168,0.306474,8.74041
-1.85303,0.499782,0.154407,1,2,1,2.39225,0.475527,0.258138,8.5952
-1.85303,0,0.154407,0,1,1,2.60518,0.475527,0.258138,8.5952
-2.04129,0.498855,0.154407,1,2,1,3.83138,0.351012,0.246063,8.70077
-2.53369,0.831207,0.154407,2,6,1,2.87324,0.393209,0.20052,9.16734
-2.88828,0.749594,0.154407,2,4,1,4.24993,0.276476,0.30826,9.49428
-1.77785,0.682275,0.154407,4,19,1,3.53735,0.288152,0.584996,8.53769
-1.42713,0.5,0.154407,1,2,1,3.79626,0.399988,0.555997,8.17772
-2.14159,0.584967,0.154407,2,7,1,4.26403,0.380763,0.508418,7.25083
-2.14159,0,0.154407,0,1,1,4.94734,0.380763,0.508418,7.25083
-2.14159,0,0.154407,0,1,1,6.07691,0.380763,0.508418,7.25083
-2.4764,0.828227,0.154407,2,6,1,5.67388,0.383586,0.204196,3.23188
-2.94236,0.886329,0.154407,3,9,1,3.26569,0.245949,0.341307,1.48569
-2.81327,0.928559,0.154407,3,14,1,3.0963,0.201302,0.378867,1.9768
-3.76593,0.992635,0.154407,4,15,0,5.21741,0.0522809,0.249049,5.14809
-3.49721,0.933162,0.154407,3,15,1,4.8659,0.0731974,0.64952,2.67803
-3.52645,0.957696,0.154407,4,24,1,5.43977,0.27744,0.81099,1.07198
-2.47857,0.946454,0.154407,4,19,1,3.92442,0.121257,0.373956,8.55421
-2.55363,0.627547,0.154407,4,23,1,4.24118,0.370245,0.209821,2.79206
-2.31368,1,0.154407,4,15,0,2.57499,0.38715,0.233708,3.68641
-2.26369,0.888746,0.154407,3,9,1,2.62003,0.242345,0.379226,4.02643
-2.33408,0.854899,0.154407,2,7,1,3.52167,0.275883,0.314006,3.42456
-2.05858,1,0.154407,4,15,0,2.3996,0.301451,0.413945,5.12368
-1.93184,0.5,0.154407,1,2,1,4.27499,0.431526,0.387055,5.32515
-2.26411,0.995097,0.154407,4,15,0,2.87237,0.526668,0.332791,2.50496
-3.12467,0.995376,0.154407,4,23,0,4.69136,0.0657491,0.327432,8.6121
-3.62856,0.704955,0.154407,4,15,0,4.307,0.077206,0.156968,8.82601
-2.54034,0.580355,0.154407,4,15,0,4.46414,0.221059,0.222113,8.90529
-2.2808,0.666667,0.154407,1,3,1,3.73457,0.30547,0.226975,8.86001
-1.39146,0.848806,0.154407,3,11,1,3.99241,0.413109,0.56047,8.11139
-2.37897,0.276242,0.154407,2,4,1,4.48277,0.200659,0.379026,5.67735
-4.36714,0.986618,0.154407,4,15,0,4.89322,0.733441,0.806716,0.435132
-3.4551,0.888889,0.154407,3,9,1,5.04658,0.838327,0.613246,1.10454
-3.26964,0.909091,0.154407,3,11,1,4.18955,0.719634,0.458399,0.827497
-3.25007,0.664658,0.154407,1,3,1,5.84927,0.685127,0.325808,0.899028
-2.38924,0.74924,0.154407,2,4,1,5.76652,0.688049,0.296134,2.87788
-1.35055,0.799918,0.154407,2,5,1,1.8838,0.725519,0.320558,3.26103
-2.59107,0.36607,0.154407,2,7,0,3.18265,0.767152,0.287107,2.878
-2.34485,0.944444,0.154407,4,18,1,3.04114,0.211203,0.375479,4.32056
-2.69896,0.886516,0.154407,3,9,1,4.05069,0.34784,0.168069,3.05331
-3.20704,0.798271,0.154407,2,5,1,4.09923,0.241009,0.180178,1.83456
-2.59811,0.933219,0.154407,3,15,1,4.53233,0.177805,0.286352,4.6979
-3.42968,0.930349,0.154407,3,15,1,4.52609,0.314997,0.305509,0.766383
-1.85568,0.875,0.154407,3,8,1,4.11211,0.483721,0.341414,8.8415
-1.84964,0.749902,0.154407,2,4,1,2.27957,0.347149,0.439047,8.82532
-2.72349,0.733365,0.154407,2,4,1,8.75917,0.0843188,0.628497,8.40646
-3.01335,0.564122,0.154407,4,24,1,4.62841,0.22963,0.531316,1.27873
-3.00781,0.923015,0.154407,3,13,1,3.3823,0.22899,0.382588,1.37305
-4.27401,0.830827,0.154407,2,6,1,6.11623,0.155687,0.228894,0.641366
-3.51858,0.962836,0.154407,4,27,1,5.30484,0.0570034,0.547237,9.10031
-3.59166,0.790691,0.154407,4,15,0,3.86467,0.0508118,0.507688,9.07328
-4.8303,0.571653,0.154407,4,20,1,6.16157,0.0196644,0.469316,2.10675
-4.84831,0.940259,0.154407,4,17,1,5.89543,0.0220505,0.387372,1.88922
-3.78664,0.939311,0.154407,4,17,1,6.86339,0.783879,0.893191,1.68755
-1.06846,0.923077,0.154407,3,13,1,3.11134,0.609468,0.435983,3.15418
-1.51123,0.769739,0.154407,3,13,1,4.02877,0.536876,0.826152,3.49314
-2.28454,0.444759,0.154407,4,20,1,2.73003,0.322102,0.259502,5.85627
-2.37843,0.665739,0.154407,1,3,1,4.81678,0.388772,0.257433,7.14332
-2.4585,0.799742,0.154407,2,5,1,2.97502,0.357527,0.220902,6.83203
-2.17927,0.83242,0.154407,2,6,1,3.31959,0.303853,0.35383,6.2685
-2.43088,0.832188,0.154407,2,6,1,3.02089,0.196694,0.417747,6.45369
-2.58392,0.857022,0.154407,2,7,1,3.38559,0.15211,0.374988,4.82646
-3.04341,0.913899,0.154407,3,12,1,4.56556,0.150384,0.217391,3.24811
-4.00695,0.996627,0.154407,3,7,0,4.22098,0.0600604,0.159539,4.01448
-4.63223,0.498806,0.154407,1,2,1,7.08128,0.0383684,0.120458,4.68158
-4.4904,0.922417,0.154407,3,13,1,5.54131,0.040636,0.135071,5.61092
-4.35625,0.665788,0.154407,1,3,1,6.48696,0.0374991,0.174456,4.42991
-3.88653,0.931565,0.154407,3,15,1,5.3336,0.151257,0.158133,1.39507
-3.63531,0.999978,0.154407,4,15,0,4.64672,0.0842544,0.168678,4.2118
-2.69623,0.888629,0.154407,3,9,1,5.05278,0.367042,0.820272,7.30304
-3.82233,0.916667,0.154407,3,12,1,5.01456,0.338116,0.873262,9.66376
-2.76848,0.908961,0.154407,3,11,1,5.25518,0.244978,0.203281,9.15849
-2.79771,0.856748,0.154407,2,7,1,3.6356,0.155496,0.19754,8.77208
-2.73441,0.723688,0.154407,3,15,1,4.49778,0.176677,0.287743,6.7943
-2.59883,0.998881,0.154407,4,15,0,3.39381,0.347881,0.156977,5.48056
-3.58744,0.959864,0.154407,4,27,1,4.06101,0.142006,0.0968116,8.93008
-2.70278,0.581286,0.154407,4,15,0,5.14103,0.365484,0.681603,1.58187
-2.76918,0.88798,0.154407,3,9,1,4.07176,0.540364,0.777256,1.77269
-4.54187,0.929176,0.154407,3,15,1,4.92437,0.822754,0.956587,2.27814
-4.64903,0.92103,0.154407,3,13,1,6.63949,0.963104,0.649172,1.37045
-3.54288,0.798491,0.154407,2,5,1,9.26981,0.922349,0.324224,2.43788
-3.28973,0.899616,0.154407,3,10,1,6.68141,0.353754,0.903626,2.49344
-4.84066,0.95232,0.154407,4,24,1,5.88889,0.0494608,0.0570278,8.67453
-4.84212,0.75,0.154407,2,4,1,4.9799,0.0465931,0.0552114,8.53175
-3.98117,0.9994,0.154407,3,7,0,5.2998,0.0566016,0.129155,8.68346
-5.24299,0.996505,0.154407,3,7,0,5.79446,0.0197567,0.0817628,8.41023
-6.29229,0.816745,0.154407,3,7,0,6.86103,0.0155061,0.0598281,9.13181
-5.51449,0.888238,0.154407,3,9,1,8.4528,0.0538705,0.34829,9.87023
-3.00522,0.750052,0.154407,4,15,0,6.5063,0.137372,0.130922,8.38921
-4.95409,0.494681,0.154407,4,17,1,6.20556,0.0164459,0.240009,3.95583
-4.1758,0.999874,0.154407,4,15,0,5.44373,0.0307116,0.577848,6.96061
-5.92224,0.99573,0.154407,3,15,0,8.32788,0.00506194,0.69276,4.92055
-2.17154,0.998612,0.154407,3,15,0,7.8286,0.412518,0.283394,3.6448
-2.63051,0.663945,0.154407,1,3,1,6.81623,0.261547,0.209691,3.42136
-2.34462,0.9,0.154407,3,10,1,2.71252,0.392156,0.22299,3.66421
-2.81759,0.907993,0.154407,3,11,1,2.88612,0.342606,0.12242,4.44622
-2.22681,0.75,0.154407,2,4,1,3.63456,0.493004,0.237956,6.09549
-2.22681,0,0.154407,0,1,1,2.56311,0.493004,0.237956,6.09549
-2.22681,0,0.154407,0,1,1,2.39379,0.493004,0.237956,6.09549
-2.52235,0.998131,0.154407,2,7,0,2.5764,0.456225,0.178363,6.70918
-2.52235,0,0.154407,0,1,1,5.03153,0.456225,0.178363,6.70918
-2.07484,0.874932,0.154407,3,8,1,2.9986,0.333764,0.394938,6.16933
-2.10401,0.856811,0.154407,2,7,1,2.69729,0.275768,0.514389,5.74316
-2.65837,0.996582,0.154407,4,15,0,2.89829,0.394814,0.371006,1.47373
-2.86087,0.832733,0.154407,2,6,1,5.79483,0.437343,0.493276,1.03803
-5.67921,0.990586,0.154407,3,11,0,5.93777,0.205952,0.673753,0.095957
-5.7562,0.999836,0.154407,3,7,0,5.82401,0.188115,0.668716,0.0943788
-5.65992,0.999988,0.154407,3,7,0,5.8573,0.187367,0.641147,0.100427
-2.32778,0.874866,0.154407,3,8,1,6.56476,0.668835,0.917986,3.13228
-2.42781,0.5,0.154407,1,2,1,4.07786,0.610401,0.938391,3.82023
-2.47014,0.499542,0.154407,1,2,1,3.08873,0.581853,0.936607,3.13924
-2.61913,0.59648,0.154407,3,15,1,3.77281,0.419704,0.859267,4.49056
-2.2911,0.999842,0.154407,4,15,0,3.04002,0.432479,0.294976,7.2765
-2.05121,0.5,0.154407,1,2,1,4.02408,0.485016,0.386856,6.81588
-2.55757,0.747444,0.154407,2,4,1,3.2135,0.253939,0.362468,7.70174
-2.61583,0.875,0.154407,3,8,1,3.08565,0.470408,0.083837,8.30828
-2.61583,0,0.154407,0,1,1,6.94727,0.470408,0.083837,8.30828
-2.61583,0,0.154407,0,1,1,7.30482,0.470408,0.083837,8.30828
-2.56489,0.498784,0.154407,1,2,1,5.70058,0.317199,0.0905101,8.02105
-2.69996,0.727875,0.154407,2,6,1,2.872,0.336068,0.0801899,8.15862
-2.85655,0.666277,0.154407,1,3,1,3.04729,0.315752,0.0690499,8.12697
-2.85855,0.499759,0.154407,1,2,1,3.25574,0.328661,0.0777232,8.4147
-2.67319,0.59143,0.154407,2,4,1,6.13576,0.223258,0.113974,8.24011
-3.46979,0.45322,0.154407,4,18,1,4.91219,0.301146,0.881457,1.70653
-3.03994,0.874883,0.154407,3,8,1,3.9031,0.387136,0.897274,3.23212
-3.31305,0.907797,0.154407,3,11,1,7.64001,0.373548,0.367246,0.721536
-3.32882,0.927099,0.154407,3,14,1,4.81605,0.353576,0.585023,0.693987
-4.13948,0.999115,0.154407,4,15,0,4.47631,0.516656,0.307365,0.309224
-4.00292,0.998201,0.154407,4,15,0,5.26664,0.208022,0.13076,1.0952
-3.22644,1,0.154407,3,7,0,4.06636,0.207919,0.204701,1.80733
-4.28731,0.951333,0.154407,4,22,1,4.97249,0.0361039,0.134841,8.54228
-4.20681,0.666667,0.154407,1,3,1,6.39752,0.0359545,0.198103,8.87936
-3.98549,0.601117,0.154407,4,23,1,6.54553,0.656359,0.511367,0.341388
-4.58182,0.998605,0.154407,3,7,0,4.77072,0.694667,0.323697,0.225536
-4.38978,0.665758,0.154407,1,3,1,8.01588,0.761155,0.458497,0.282798
-4.75631,0.994786,0.154407,4,31,0,8.98065,0.0549541,0.379162,0.761177
-4.80323,0.999997,0.154407,3,7,0,4.87945,0.0499428,0.38281,0.794938
-4.81369,0.873157,0.154407,3,8,1,6.28338,0.0682196,0.119812,1.40973
-4.56156,0.875,0.154407,3,8,1,6.72692,0.159177,0.11045,0.870067
-4.03691,0.5,0.154407,1,2,1,6.49529,0.144093,0.152577,1.26765
-3.25574,0.857143,0.154407,2,7,1,4.68241,0.208204,0.162623,2.20232
-3.75863,0.748736,0.154407,2,4,1,6.95176,0.0921176,0.325948,1.49133
-2.78232,0.888532,0.154407,3,9,1,4.28986,0.336683,0.159705,2.9148
-2.59769,0.93703,0.154407,4,16,1,3.53735,0.156469,0.629364,4.09451
-3.32997,0.896897,0.154407,3,10,1,4.53117,0.313679,0.904657,7.39238
-2.61417,0.666667,0.154407,1,3,1,4.2438,0.369703,0.915634,8.16769
-2.40808,0.537795,0.154407,4,15,0,2.89158,0.409397,0.883197,8.4246
-2.6591,0.323063,0.154407,3,8,1,6.64238,0.170465,0.727384,5.1794
-2.41349,0.999881,0.154407,4,15,0,3.19067,0.253312,0.294046,3.51526
-3.62499,0.995144,0.154407,4,15,0,4.04041,0.0777594,0.807118,6.06281
-2.82917,0.888798,0.154407,3,9,1,4.50594,0.142628,0.618635,7.12795
-2.40662,0.857143,0.154407,2,7,1,2.93184,0.230086,0.61887,6.85252
-1.07672,0.994125,0.154407,3,15,0,3.06477,0.503896,0.388614,3.02592
-2.61059,0.363722,0.154407,4,15,0,4.10571,0.626009,0.47377,1.47731
-2.73383,0.832967,0.154407,2,6,1,4.08103,0.574285,0.556239,1.22721
-2.3342,0.666667,0.154407,1,3,1,5.26979,0.592568,0.482476,2.01203
-2.21115,0.922275,0.154407,3,13,1,3.0407,0.451747,0.658351,2.69122
-2.20921,0.95402,0.154407,4,22,1,2.58713,0.249055,0.552978,6.11934
-2.18604,0.916561,0.154407,3,12,1,2.48418,0.247999,0.507144,5.94637
-2.11387,0.857138,0.154407,2,7,1,2.73728,0.300109,0.384105,5.83382
-2.24325,0.898008,0.154407,3,10,1,3.32307,0.281377,0.304153,5.45234
-2.46611,0.665537,0.154407,1,3,1,4.1794,0.191396,0.327894,5.32152
-3.57966,0.918538,0.154407,3,13,1,4.08359,0.164713,0.210517,1.42159
-2.98881,0.999512,0.154407,3,7,0,3.87913,0.208709,0.235871,2.15649
-3.12055,0.856828,0.154407,2,7,1,4.36917,0.15931,0.28675,2.01865
-2.5597,0.833333,0.154407,2,6,1,3.86108,0.350008,0.224894,2.65456
-2.14247,0.748054,0.154407,2,4,1,6.53487,0.396003,0.37044,3.01007
-4.26266,0.987904,0.154407,4,15,0,4.50712,0.406335,0.532497,0.240318
-4.50387,0.855403,0.154407,2,7,1,6.15482,0.377585,0.642156,0.209292
-3.04589,0.961116,0.154407,4,26,1,5.71746,0.255802,0.726556,1.47487
-1.51929,0.872563,0.154407,3,8,1,5.71199,0.431789,0.658347,8.2264
-1.41995,0.559026,0.154407,3,8,1,1.83779,0.477492,0.563905,8.24133
-1.51004,0.455872,0.154407,1,3,1,1.77773,0.457188,0.530305,8.44287
-2.27335,0.745394,0.154407,2,4,1,3.841,0.288892,0.437256,9.18408
-1.9919,0.591366,0.154407,2,4,1,5.29388,0.317647,0.210279,8.32494
-2.60681,0.247016,0.154407,1,3,1,4.76219,0.38365,0.213691,7.53638
-2.41006,0.856805,0.154407,2,7,1,2.68953,0.319822,0.113171,8.14119
-3.21368,0.434125,0.154407,2,4,1,5.47055,0.241973,0.135742,7.51287
-2.84461,0.961526,0.154407,4,26,1,3.73917,0.360074,0.13214,3.2705
-2.46831,0.5,0.154407,1,2,1,4.31025,0.392944,0.188206,3.67639
-2.22873,0.833333,0.154407,2,6,1,2.91132,0.497692,0.250325,3.56792
-3.21072,0.993611,0.154407,4,15,0,3.99201,0.107734,0.769357,3.83477
-5.15436,0.999479,0.154407,4,15,0,6.0885,0.0245219,0.532479,9.62956
-5.36758,0.714982,0.154407,4,19,1,7.1577,0.017304,0.612166,9.55508
-6.62622,0.916575,0.154407,3,12,1,7.63897,0.00253762,0.472496,9.15604
-4.72733,0.791621,0.154407,4,15,0,7.1567,0.0132625,0.448713,8.86559
-5.3625,0.747976,0.154407,4,15,0,5.65691,0.00607579,0.355443,8.53998
-5.08464,0.661844,0.154407,1,3,1,10.2031,0.0100362,0.223442,8.43347
-7.51475,0.410936,0.154407,4,15,0,8.51444,0.00265675,0.568831,0.923979
-4.95758,0.999163,0.154407,4,15,0,7.76134,0.0115784,0.591913,8.95534
-5.12094,0.90987,0.154407,3,7,0,5.28922,0.0103667,0.521751,9.05218
-4.10624,0.748373,0.154407,4,15,0,5.37798,0.0239875,0.466528,8.82123
-4.78892,0.896323,0.154407,3,10,1,5.58804,0.0265163,0.146444,8.93857
-5.31825,0.760316,0.154407,3,12,1,6.69586,0.0165322,0.13991,8.97293
-5.39229,0.75,0.154407,2,4,1,6.65772,0.0143615,0.086831,8.17517
-5.91342,0.480576,0.154407,4,25,1,8.91438,0.0523089,0.029221,9.23426
-5.19782,0.833333,0.154407,2,6,1,7.13221,0.0791004,0.0577989,9.45791
-4.73392,1,0.154407,3,7,0,5.28444,0.113957,0.0597125,9.39259
-2.52778,0.683775,0.154407,4,25,1,6.09238,0.183885,0.19549,8.54348
-2.59614,0.663998,0.154407,4,15,0,4.46728,0.596325,0.255638,2.0466
-2.76136,0.799127,0.154407,2,5,1,4.3242,0.508596,0.26729,1.52338
-2.51383,0.799882,0.154407,2,5,1,3.49978,0.589788,0.229701,2.53257
-1.13415,0.749447,0.154407,2,4,1,3.05798,0.687563,0.382146,3.70867
-1.13415,0,0.154407,0,1,1,2.91437,0.687563,0.382146,3.70867
-1.12696,0.666667,0.154407,1,3,1,1.38337,0.688126,0.422008,3.50703
-2.30678,0.591577,0.154407,2,4,1,2.78492,0.658755,0.312026,2.911
-1.29191,0.666667,0.154407,1,3,1,1.5494,0.662268,0.28937,3.2608
-1.08646,0.451915,0.154407,4,15,0,1.77985,0.547568,0.620473,3.07045
-2.15044,0.455885,0.154407,1,3,1,3.04693,0.464941,0.614114,2.70873
-2.3201,0.908593,0.154407,3,11,1,2.51606,0.286539,0.692835,3.44628
-2.18345,0.891658,0.154407,3,10,1,5.99982,0.755258,0.885508,3.30131
-3.31523,0.183181,0.154407,1,2,1,11.8026,0.871634,0.791277,2.68864
-1.63488,0.916665,0.154407,3,12,1,2.8185,0.847571,0.389817,3.71205
-1.62617,0.749995,0.154407,2,4,1,1.78604,0.850916,0.454218,3.58842
-1.09877,0.491934,0.154407,4,15,0,4.64664,0.619782,0.318105,3.99301
-1.09877,0,0.154407,0,1,1,1.53025,0.619782,0.318105,3.99301
-1.09877,0,0.154407,0,1,1,2.13336,0.619782,0.318105,3.99301
-1.09877,0,0.154407,0,1,1,1.81616,0.619782,0.318105,3.99301
-1.09877,0,0.154407,0,1,1,3.47499,0.619782,0.318105,3.99301
-1.09877,0,0.154407,0,1,1,3.99571,0.619782,0.318105,3.99301
-1.09877,0,0.154407,0,1,1,1.84133,0.619782,0.318105,3.99301
-1.16713,0.499733,0.154407,1,2,1,1.84536,0.566738,0.278741,3.65662
-2.17529,0.409809,0.154407,4,15,0,2.56415,0.269972,0.380632,4.25423
-2.23302,0.928302,0.154407,3,14,1,2.35047,0.226948,0.428141,5.20634
-3.10585,0.995741,0.154407,4,15,0,3.46644,0.146854,0.826761,5.20443
-2.45535,0.999651,0.154407,4,15,0,3.88238,0.363613,0.222231,6.88139
-1.95815,0.875,0.154407,3,8,1,2.53755,0.461622,0.453075,6.44404
-1.93449,0.5,0.154407,1,2,1,3.53215,0.420777,0.552914,6.00819
