# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = prior_mix_model
# start_datetime = 2023-01-12 14:17:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = examples\prior_mix\prior_mix.data.R
# init = 2 (Default)
# random
#   seed = 2910927698 (Default)
# output
#   file = examples\prior_mix\prior_mixMCMC.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1
-29.6278,0.995993,0.802905,2,3,0,30.0418,-2.64172
-30.7631,0.780187,0.802905,2,3,0,31.7872,-2.00222
-30.9364,0.979158,0.802905,2,3,0,31.2806,-1.95653
-29.8005,0.868705,0.802905,1,3,0,31.6658,-2.88155
-29.6275,0.997064,0.802905,1,3,0,29.8363,-2.63112
-30.0855,0.890821,0.802905,1,3,0,30.3255,-3.03955
-29.6415,0.995111,0.802905,1,3,0,30.1242,-2.70252
-29.8995,0.972827,0.802905,2,3,0,29.9223,-2.3215
-30.9981,0.579484,0.802905,1,3,0,33.3054,-3.34104
-30.8614,1,0.802905,1,1,0,31.0973,-3.30431
-30.7089,1,0.802905,1,1,0,30.9407,-3.26093
-29.643,1,0.802905,2,3,0,30.4884,-2.55701
-29.8099,0.943292,0.802905,1,3,0,29.981,-2.88834
-31.6112,0.809512,0.802905,2,3,0,31.676,-3.48699
-31.4959,1,0.802905,1,1,0,31.7648,-3.46145
-29.6573,0.969935,0.802905,1,3,0,32.1922,-2.73512
-29.7032,0.990932,0.802905,1,1,0,29.7034,-2.79673
-29.6954,1,0.802905,1,1,0,29.7133,-2.78794
-32.7348,0.725005,0.802905,2,7,0,32.7379,-3.70531
-31.8456,1,0.802905,1,1,0,32.704,-3.53679
-31.9766,0.994066,0.802905,1,1,0,32.1478,-3.56347
-29.6703,0.95512,0.802905,2,7,0,31.5491,-2.50803
-29.705,0.972155,0.802905,1,3,0,29.8565,-2.79863
-30.6877,0.818944,0.802905,1,3,0,31.1915,-2.0232
-30.5738,1,0.802905,1,1,0,30.9281,-2.05641
-30.3279,1,0.802905,1,1,0,30.6667,-2.13592
-29.8734,1,0.802905,1,1,0,30.2063,-2.33664
-29.9075,0.71729,0.802905,2,3,0,31.5001,-2.31698
-29.9631,0.994471,0.802905,2,3,0,30.0297,-2.28739
-29.8937,1,0.802905,1,1,0,30.0025,-2.32479
-29.6307,1,0.802905,1,3,0,29.8658,-2.59748
-29.6318,0.97537,0.802905,2,3,0,29.7969,-2.6708
-29.6332,0.982346,0.802905,2,3,0,29.7545,-2.67678
-29.6329,0.981841,0.802905,2,3,0,29.7693,-2.58734
-30.9669,0.801527,0.802905,2,3,0,30.967,-3.33282
-31.6917,0.949958,0.802905,1,1,0,31.6951,-3.50441
-31.0195,1,0.802905,2,3,0,31.6534,-3.34662
-29.6278,1,0.802905,2,3,0,30.7611,-2.64265
-29.6743,0.993933,0.802905,2,3,0,29.6805,-2.50249
-29.908,0.810484,0.802905,2,3,0,31.0635,-2.95033
-29.7748,1,0.802905,1,1,0,29.8887,-2.8622
-29.7417,1,0.802905,1,1,0,29.7824,-2.83456
-29.7778,0.997863,0.802905,2,3,0,29.7907,-2.86451
-29.8192,0.992899,0.802905,1,1,0,29.8366,-2.89482
-29.8313,0.946125,0.802905,1,3,0,30.3261,-2.36297
-29.7891,1,0.802905,1,1,0,29.8536,-2.39219
-29.9207,0.962715,0.802905,1,1,0,29.9431,-2.30972
-29.6393,0.984053,0.802905,1,3,0,30.0069,-2.69671
-30.25,0.878839,0.802905,1,3,0,30.477,-3.10782
-29.8652,0.991243,0.802905,2,3,0,30.4189,-2.92488
-29.8863,0.934583,0.802905,1,3,0,30.5012,-2.32909
-29.6339,1,0.802905,2,3,0,29.8654,-2.67952
-30.9602,0.819145,0.802905,2,3,0,30.9738,-3.33104
-29.797,1,0.802905,2,3,0,30.8982,-2.87904
-29.6544,0.987593,0.802905,1,3,0,29.9469,-2.53367
-29.9386,0.902901,0.802905,1,3,0,30.2489,-2.96737
-30.8212,0.884189,0.802905,1,3,0,30.9019,-3.29314
-29.9168,0.944843,0.802905,2,3,0,31.9004,-2.95532
-29.6811,0.994398,0.802905,1,3,0,29.8877,-2.77039
-30.4243,0.932751,0.802905,2,3,0,30.5165,-2.10328
-29.9239,1,0.802905,1,1,0,30.2943,-2.30799
-30.3407,0.669474,0.802905,1,3,0,31.7558,-3.14164
-32.2955,0.712606,0.802905,3,7,0,34.5096,-1.67339
-32.9612,0.972083,0.802905,2,7,0,32.9708,-3.74425
-32.674,1,0.802905,2,3,0,33.0923,-3.69461
-32.8146,0.996802,0.802905,1,1,0,33.0078,-3.7192
-33.1882,0.991136,0.802905,2,3,0,34.0774,-3.78197
-32.6637,1,0.802905,2,3,0,33.2446,-3.6928
-31.6865,1,0.802905,1,1,0,32.6221,-3.50328
-29.6354,0.980545,0.802905,2,7,0,31.2988,-2.57843
-29.6551,0.989574,0.802905,2,3,0,29.7035,-2.73111
-30.2268,0.896318,0.802905,1,3,0,30.3872,-3.09878
-30.1372,1,0.802905,2,3,0,30.2696,-3.06215
-30.0937,1,0.802905,1,1,0,30.1941,-3.04324
-30.2994,0.973551,0.802905,1,1,0,30.3225,-3.12652
-30.5397,0.973039,0.802905,1,1,0,30.5746,-3.20911
-32.1639,0.802762,0.802905,1,3,0,32.3582,-3.60039
-32.2384,0.997267,0.802905,1,1,0,32.4452,-3.61471
-30.4904,0.869787,0.802905,1,3,0,32.3338,-3.19312
-30.5362,0.995143,0.802905,1,1,0,30.6449,-3.20799
-30.1573,1,0.802905,1,1,0,30.4956,-3.07063
-29.7014,0.987261,0.802905,1,3,0,30.1332,-2.79474
-29.6631,0.960148,0.802905,2,3,0,30.096,-2.51891
-29.6307,1,0.802905,1,3,0,29.6572,-2.5974
-29.676,0.985554,0.802905,1,3,0,29.7145,-2.76366
-29.676,0.816843,0.802905,1,3,0,30.9129,-2.76366
-29.676,0.798584,0.802905,1,3,0,31.1666,-2.76366
-30.4127,0.78992,0.802905,2,3,0,31.3042,-3.16698
-29.7295,0.97967,0.802905,1,3,0,30.4088,-2.82333
-29.6717,1,0.802905,1,1,0,29.7188,-2.75772
-29.6397,0.994549,0.802905,1,3,0,29.7221,-2.56546
-29.8422,0.971337,0.802905,2,3,0,29.8428,-2.91024
-29.923,0.987097,0.802905,1,1,0,29.9414,-2.95882
-30.0733,0.977953,0.802905,1,1,0,30.0888,-3.03407
-29.6555,0.867497,0.802905,2,3,0,31.6092,-2.53169
-29.7175,0.968894,0.802905,1,3,0,29.8501,-2.81169
-29.6762,1,0.802905,1,1,0,29.7117,-2.7639
-30.4658,0.926001,0.802905,2,3,0,30.5833,-2.08987
-29.7899,0.883344,0.802905,1,3,0,31.1208,-2.8738
-30.2686,0.957088,0.802905,2,7,0,30.2686,-2.15718
-30.0185,1,0.802905,1,1,0,30.2637,-2.26029
-29.6523,1,0.802905,1,3,0,29.9384,-2.53743
-29.7412,0.883269,0.802905,2,3,0,30.467,-2.83411
-29.6276,1,0.802905,2,3,0,29.7272,-2.63735
-29.6473,0.9951,0.802905,1,3,0,29.6549,-2.54754
-29.6992,0.97569,0.802905,1,3,0,29.7982,-2.79229
-29.6612,0.98776,0.802905,1,3,0,29.8121,-2.52191
-29.7191,0.972569,0.802905,2,3,0,29.8523,-2.45115
-29.6455,0.987174,0.802905,1,3,0,29.7976,-2.71208
-29.8001,0.903284,0.802905,2,3,0,30.3348,-2.88128
-29.6495,0.922144,0.802905,2,3,0,30.7049,-2.54297
-30.485,0.774124,0.802905,1,3,0,31.2606,-3.19134
-30.1536,1,0.802905,1,1,0,30.4541,-3.06907
-29.6826,0.995606,0.802905,2,7,0,30.05,-2.4915
-29.8713,0.915591,0.802905,1,3,0,30.2042,-2.92864
-29.751,0.953848,0.802905,1,3,0,30.2775,-2.42218
-29.6787,0.971712,0.802905,2,3,0,29.9473,-2.49654
-29.7934,0.969988,0.802905,1,1,0,29.7942,-2.3891
-30.0332,0.931954,0.802905,1,1,0,30.0475,-2.25341
-29.7099,1,0.802905,2,3,0,29.9593,-2.80387
-29.6278,0.999022,0.802905,1,3,0,29.7177,-2.64284
-29.6455,0.996196,0.802905,1,3,0,29.6492,-2.71197
-30.853,0.782112,0.802905,1,3,0,31.1775,-1.97811
-31.3614,0.822234,0.802905,1,1,0,31.7091,-1.85625
-29.6516,0.718778,0.802905,2,3,0,33.0528,-2.72462
-29.7795,0.990005,0.802905,2,3,0,29.7801,-2.39942
-29.7795,0.819452,0.802905,1,1,0,30.2405,-2.39942
-29.6278,0.998792,0.802905,1,3,0,29.7757,-2.62072
-29.8976,0.931866,0.802905,1,3,0,30.0385,-2.94432
-29.7825,1,0.802905,1,1,0,29.8839,-2.86816
-30.7734,0.886275,0.802905,2,3,0,30.9763,-3.27964
-30.5923,1,0.802905,1,1,0,30.8307,-3.22567
-30.2587,1,0.802905,2,3,0,30.57,-3.11115
-30.5451,0.967425,0.802905,1,1,0,30.5682,-3.21083
-31.2283,0.957378,0.802905,2,7,0,31.3819,-1.88614
-30.796,1,0.802905,1,1,0,31.3957,-1.99327
-29.84,1,0.802905,1,1,0,30.4953,-2.35732
-30.581,0.793082,0.802905,1,1,0,30.5857,-2.05427
-29.6427,0.664532,0.802905,2,3,0,32.4,-2.55783
-30.7019,0.802381,0.802905,1,3,0,30.7816,-2.01919
-30.7901,0.968189,0.802905,1,1,0,31.1214,-1.99488
-30.0319,1,0.802905,1,1,0,30.5802,-2.25405
-29.6647,0.964307,0.802905,1,3,0,30.2258,-2.74715
-29.7132,0.990541,0.802905,1,1,0,29.7136,-2.8073
-30.7283,0.847129,0.802905,1,3,0,31.0208,-3.2666
-30.0007,0.993888,0.802905,2,3,0,30.8908,-2.99959
-29.6375,0.99586,0.802905,1,3,0,30.0298,-2.69137
-29.8562,0.976095,0.802905,2,3,0,29.8769,-2.34711
-29.791,0.85407,0.802905,2,3,0,30.6573,-2.39083
-29.8067,0.995577,0.802905,1,1,0,29.8464,-2.37959
-30.7119,0.663005,0.802905,1,3,0,32.3425,-3.26181
-30.0286,0.992924,0.802905,2,3,0,30.9011,-3.01319
-29.6756,0.991441,0.802905,1,3,0,30.0084,-2.76315
-29.8311,0.975258,0.802905,2,3,0,29.9149,-2.90292
-31.0039,0.853297,0.802905,1,3,0,31.2561,-3.34254
-31.4556,0.967977,0.802905,1,1,0,31.4933,-3.45236
-31.8859,0.976778,0.802905,1,1,0,31.9469,-3.54507
-29.6759,0.967219,0.802905,2,7,0,31.4713,-2.50022
-29.8341,0.928499,0.802905,1,3,0,30.1166,-2.90491
-29.9177,0.986578,0.802905,1,1,0,29.9344,-2.95585
-30.1624,0.964824,0.802905,1,1,0,30.1662,-3.07276
-30.1388,0.891894,0.802905,1,3,0,31.4661,-2.20746
-29.8926,1,0.802905,1,1,0,30.1019,-2.32545
-29.9327,0.988107,0.802905,1,1,0,29.9974,-2.30325
-29.8237,1,0.802905,1,1,0,29.935,-2.368
-29.695,0.946186,0.802905,2,3,0,30.1552,-2.47656
-29.6921,0.974645,0.802905,2,3,0,29.8712,-2.47992
-29.7444,0.951188,0.802905,1,3,0,29.9765,-2.83692
-29.7029,1,0.802905,2,3,0,29.7424,-2.79633
-29.9698,0.864739,0.802905,2,3,0,30.7968,-2.98394
-30.026,0.991778,0.802905,1,1,0,30.0682,-3.01196
-30.7144,0.930962,0.802905,2,3,0,30.9997,-3.26253
-30.9747,0.977185,0.802905,1,1,0,31.0378,-3.33488
-30.5346,1,0.802905,1,1,0,30.9498,-3.20745
-31.018,0.955172,0.802905,1,1,0,31.0299,-3.34623
-30.7217,1,0.802905,2,3,0,31.0468,-3.26467
-29.694,0.989724,0.802905,1,3,0,30.8576,-2.78632
-30.6259,0.76593,0.802905,2,3,0,31.5782,-3.23603
-30.0059,0.992306,0.802905,2,3,0,30.8203,-3.00217
-29.7815,0.932493,0.802905,2,7,0,30.5694,-2.3979
-30.0725,0.972703,0.802905,2,3,0,30.0815,-2.23568
-30.0183,0.774898,0.802905,1,3,0,31.2372,-3.00822
-29.8904,1,0.802905,2,3,0,30.0144,-2.94014
-30.0226,0.980028,0.802905,1,1,0,30.0375,-3.01032
-29.9811,1,0.802905,1,1,0,30.0645,-2.98972
-30.005,0.996856,0.802905,2,7,0,30.0059,-2.26669
-30.005,0.471511,0.802905,1,1,0,31.3975,-2.26669
-30.005,0.762183,0.802905,1,3,0,31.071,-2.26669
-30.2066,0.937916,0.802905,1,1,0,30.2831,-2.18047
-31.5619,0.613512,0.802905,1,1,0,31.633,-1.81336
-31.183,1,0.802905,2,3,0,31.8999,-1.8966
-29.6992,1,0.802905,2,7,0,30.7795,-2.47183
-29.7455,0.930052,0.802905,2,3,0,30.1594,-2.83787
-30.3345,0.918844,0.802905,1,3,0,30.4061,-3.13937
-29.8752,0.918553,0.802905,1,3,0,31.3419,-2.33559
-29.6819,0.961546,0.802905,1,3,0,30.0975,-2.77145
-29.6675,1,0.802905,1,1,0,29.6838,-2.75149
-29.628,0.998534,0.802905,1,3,0,29.6795,-2.61851
-29.631,0.999473,0.802905,1,3,0,29.6311,-2.59628
-29.8187,0.963512,0.802905,2,3,0,29.9154,-2.3713
-29.6365,1,0.802905,2,3,0,29.7925,-2.68837
-29.6365,0.760257,0.802905,1,3,0,31.3499,-2.68837
-29.8501,0.957957,0.802905,1,3,0,29.8975,-2.91533
-29.8501,0.957157,0.802905,1,1,0,30.0912,-2.91533
-29.7249,1,0.802905,1,1,0,29.8283,-2.81896
-29.7124,0.974631,0.802905,1,3,0,29.9526,-2.45786
-29.9047,0.900074,0.802905,1,3,0,30.34,-2.94845
-30.5447,0.931545,0.802905,2,3,0,30.7752,-3.21068
-29.6315,0.953766,0.802905,2,7,0,30.9735,-2.59346
-29.7704,0.980735,0.802905,2,3,0,29.7728,-2.85866
-31.5947,0.872358,0.802905,2,3,0,32.0439,-1.80658
-29.829,1,0.802905,2,3,0,31.4948,-2.9015
-30.207,0.968742,0.802905,2,7,0,30.2149,-2.18031
-29.68,0.950815,0.802905,1,3,0,30.4718,-2.76904
-29.8692,0.972803,0.802905,1,3,0,29.8769,-2.92734
-29.7248,1,0.802905,1,1,0,29.8437,-2.81888
-29.8208,0.994337,0.802905,2,3,0,29.8228,-2.89594
-29.7691,1,0.802905,2,3,0,29.8257,-2.85767
-29.7475,0.919842,0.802905,2,3,0,30.5346,-2.83963
-29.6297,1,0.802905,2,3,0,29.7248,-2.60362
-29.6856,0.964683,0.802905,2,3,0,29.8482,-2.77619
-30.4892,0.90337,0.802905,2,3,0,30.5679,-3.19272
-30.1343,1,0.802905,2,3,0,30.4516,-3.06093
-30.3476,0.973329,0.802905,1,1,0,30.3731,-3.14412
-29.6415,0.974718,0.802905,1,3,0,30.7362,-2.5607
-30.4485,0.845069,0.802905,1,3,0,30.5128,-2.0954
-29.9544,1,0.802905,1,1,0,30.3271,-2.29187
-29.8864,0.613125,0.802905,2,3,0,32.3187,-2.329
-29.7261,0.898725,0.802905,2,3,0,30.4518,-2.44442
-29.9834,0.824619,0.802905,2,3,0,30.8079,-2.27722
-30.3418,0.963787,0.802905,2,3,0,30.3966,-2.13109
-30.2688,1,0.802905,1,1,0,30.4971,-2.15711
-35.0237,0.15003,0.802905,1,1,0,35.0797,-1.27944
-30.0912,1,0.802905,1,1,0,33.1383,-2.22753
-29.742,1,0.802905,1,1,0,29.9919,-2.42997
-30.0985,0.962248,0.802905,2,3,0,30.0997,-2.22437
-30.1237,0.997323,0.802905,2,3,0,30.255,-2.21371
-29.8772,1,0.802905,2,3,0,30.083,-2.33441
-29.8772,0.703253,0.802905,1,3,0,31.2433,-2.33441
-29.6678,0.957831,0.802905,2,3,0,30.1579,-2.51169
-30.9116,0.814506,0.802905,2,7,0,30.9162,-3.31802
-33.9854,0.784183,0.802905,1,3,0,35.1142,-3.90574
-34.8491,1,0.802905,1,1,0,34.8583,-4.02747
-29.8114,0.876001,0.802905,3,7,0,34.6893,-2.37631
-30.406,0.678765,0.802905,1,3,0,31.651,-3.1647
-29.8673,0.928982,0.802905,2,3,0,31.487,-2.92619
-30.3849,0.95895,0.802905,2,7,0,30.3894,-2.11637
-30.2678,1,0.802905,1,1,0,30.5186,-2.15748
-33.0998,0.338236,0.802905,1,1,0,33.1627,-1.54136
-32.4331,1,0.802905,2,7,0,32.6081,-3.65119
-29.8305,1,0.802905,2,3,0,32.1032,-2.90251
-29.707,1,0.802905,1,1,0,29.8081,-2.80082
-29.8481,0.891079,0.802905,2,3,0,30.6082,-2.91409
-29.6486,0.981525,0.802905,1,3,0,30.0066,-2.5447
-29.6296,0.998942,0.802905,2,3,0,29.6565,-2.60406
-30.1982,0.916799,0.802905,2,3,0,30.2064,-3.08741
-29.6993,0.98641,0.802905,1,3,0,30.1811,-2.79242
-30.2048,0.961666,0.802905,2,3,0,30.2235,-2.18119
-29.6886,0.945517,0.802905,1,3,0,30.4996,-2.77985
-29.6796,0.984066,0.802905,1,3,0,29.83,-2.49529
-29.8968,0.901281,0.802905,1,3,0,30.2458,-2.94388
-29.6334,0.98713,0.802905,1,3,0,30.0173,-2.58548
-30.048,0.916041,0.802905,1,3,0,30.0947,-2.24664
-31.1223,0.692163,0.802905,1,1,0,31.159,-1.91088
-29.6275,1,0.802905,1,3,0,30.9728,-2.63304
-29.6278,0.991334,0.802905,2,3,0,29.6866,-2.62159
-29.6334,0.951846,0.802905,2,3,0,29.9738,-2.67748
-30.2847,0.864829,0.802905,1,3,0,30.567,-3.121
-29.6389,0.999923,0.802905,1,3,0,30.3936,-2.69548
-29.6278,0.999949,0.802905,2,3,0,29.6392,-2.64183
-30.6111,0.789148,0.802905,1,3,0,31.216,-3.23151
-30.9896,0.965741,0.802905,1,1,0,31.0204,-3.3388
-30.8854,1,0.802905,1,1,0,31.1047,-3.31091
-30.4225,1,0.802905,1,1,0,30.8477,-3.17035
-30.2292,1,0.802905,1,1,0,30.4378,-3.0997
-30.4025,0.97935,0.802905,1,1,0,30.4455,-3.16347
-30.7206,0.967044,0.802905,1,1,0,30.7487,-3.26435
-33.3789,0.813162,0.802905,2,7,0,33.3789,-1.49934
-29.9715,1,0.802905,1,1,0,32.1509,-2.28313
-29.7575,0.919435,0.802905,1,3,0,30.4277,-2.84818
-29.7692,0.997934,0.802905,1,1,0,29.7909,-2.85771
-29.822,0.842351,0.802905,2,3,0,32.8047,-2.89676
-31.0282,0.878269,0.802905,2,3,0,31.1542,-3.34887
-29.8217,1,0.802905,2,3,0,30.9712,-2.89651
-29.8585,0.993919,0.802905,1,1,0,29.884,-2.92067
-29.6703,0.9801,0.802905,1,3,0,30.0827,-2.50807
-29.7112,0.989467,0.802905,1,1,0,29.7151,-2.45907
-29.8537,0.961563,0.802905,1,1,0,29.8578,-2.34868
-30.7862,0.743298,0.802905,1,1,0,30.7896,-1.99595
-29.7661,0.890128,0.802905,1,3,0,31.3893,-2.85528
-30.637,0.885133,0.802905,1,3,0,30.7993,-3.23943
-30.2884,1,0.802905,2,3,0,30.6136,-3.12241
-30.1784,1,0.802905,1,1,0,30.3282,-3.07935
-29.7622,0.986105,0.802905,1,3,0,30.131,-2.85205
-29.665,0.982045,0.802905,1,3,0,29.92,-2.51586
-29.7143,0.987386,0.802905,1,1,0,29.7165,-2.45594
-29.6604,0.981828,0.802905,1,3,0,29.8302,-2.74035
-29.7303,0.973552,0.802905,1,3,0,29.8594,-2.44043
-30.0089,0.805461,0.802905,2,3,0,30.9377,-2.26484
-29.6333,1,0.802905,1,3,0,29.9591,-2.58607
-29.9522,0.934888,0.802905,1,3,0,29.9877,-2.29302
-29.7148,0.882566,0.802905,2,3,0,30.5949,-2.45542
-29.9976,0.923696,0.802905,1,1,0,29.998,-2.27029
-29.7392,1,0.802905,1,1,0,29.9273,-2.43242
-29.9446,0.943473,0.802905,1,1,0,29.9502,-2.29698
-30.3732,0.872275,0.802905,1,1,0,30.4121,-2.12031
-31.8674,0.5715,0.802905,1,1,0,31.9864,-1.75222
-29.8691,1,0.802905,2,3,0,31.7718,-2.92728
-30.0816,0.964717,0.802905,2,3,0,30.3307,-3.03781
-29.8145,0.918804,0.802905,2,3,0,31.0842,-2.89154
-31.2276,0.828538,0.802905,1,3,0,31.6313,-3.39883
-29.659,0.859756,0.802905,1,3,0,32.3593,-2.52562
-30.4129,0.753749,0.802905,1,3,0,31.1698,-3.16706
-30.464,0.994344,0.802905,1,1,0,30.5625,-3.18436
-30.4752,0.998776,0.802905,1,1,0,30.5938,-3.1881
-30.4752,0.764788,0.802905,1,3,0,32.6603,-3.1881
-30.5959,0.971512,0.802905,2,3,0,31.1817,-3.2268
-31.1034,0.954799,0.802905,1,1,0,31.1151,-3.36811
-29.7911,0.9686,0.802905,1,3,0,31.2513,-2.87468
-30.8627,0.928095,0.802905,2,3,0,30.9247,-1.97557
-30.7842,1,0.802905,1,1,0,31.1965,-1.99647
-29.8785,1,0.802905,1,1,0,30.5003,-2.33363
-29.6496,0.977933,0.802905,1,3,0,30.0009,-2.72071
-29.8064,0.956494,0.802905,1,3,0,29.9422,-2.37977
-29.6781,1,0.802905,2,7,0,29.7783,-2.76651
-29.6944,0.996848,0.802905,1,1,0,29.7007,-2.78673
-29.8035,0.901397,0.802905,2,3,0,30.4958,-2.88374
-29.7072,1,0.802905,1,1,0,29.7867,-2.80097
-29.6821,0.982541,0.802905,1,3,0,29.8664,-2.49214
-30.4367,0.742373,0.802905,2,7,0,31.3207,-3.17518
-29.6275,0.975041,0.802905,1,3,0,30.7235,-2.63107
-29.6903,0.985483,0.802905,1,3,0,29.7075,-2.48211
-29.9077,0.893591,0.802905,1,3,0,30.2938,-2.95018
-30.1721,0.961871,0.802905,1,1,0,30.174,-3.07676
-30.4341,0.968389,0.802905,1,1,0,30.4544,-3.17431
-30.2601,1,0.802905,1,1,0,30.4596,-3.1117
-30.1023,1,0.802905,1,1,0,30.2729,-3.04704
-31.114,0.870579,0.802905,1,3,0,31.189,-3.37076
-29.9053,0.782078,0.802905,2,3,0,33.0172,-2.31825
-30.7153,0.769988,0.802905,1,1,0,30.7286,-2.01545
-29.8254,1,0.802905,2,3,0,30.4378,-2.36682
-29.6285,1,0.802905,2,3,0,29.8227,-2.65051
-29.9746,0.921226,0.802905,1,3,0,30.1192,-2.98642
-30.7884,0.893689,0.802905,1,3,0,30.8411,-3.2839
-29.6729,0.965871,0.802905,2,3,0,31.4358,-2.75932
-29.9654,0.954708,0.802905,1,3,0,29.9972,-2.98165
-30.1023,0.980444,0.802905,1,1,0,30.1249,-3.04704
-30.0433,1,0.802905,2,3,0,30.1455,-3.0202
-29.6449,0.971603,0.802905,1,3,0,30.2837,-2.55282
-30.9569,0.81684,0.802905,2,7,0,30.9576,-3.33017
-30.4377,1,0.802905,1,1,0,30.91,-3.17554
-30.0951,0.892301,0.802905,1,3,0,31.9334,-2.22584
-29.9099,1,0.802905,1,1,0,30.088,-2.31568
-29.6522,0.975364,0.802905,1,3,0,30.0456,-2.72585
-29.6365,1,0.802905,1,1,0,29.649,-2.68856
-31.3258,0.71636,0.802905,1,3,0,31.647,-1.86413
-30.6008,1,0.802905,1,1,0,31.2892,-2.04837
-29.8779,1,0.802905,2,3,0,30.382,-2.334
-30.1281,0.92638,0.802905,1,1,0,30.1625,-2.21191
-30.1281,0.19658,0.802905,1,1,0,32.7642,-2.21191
-29.6275,0.998195,0.802905,1,3,0,30.1093,-2.628
-29.7128,0.988091,0.802905,2,3,0,29.7194,-2.80687
-29.6417,0.998021,0.802905,2,3,0,29.7329,-2.70306
-29.6286,0.999868,0.802905,1,3,0,29.6401,-2.65185
-29.8985,0.939589,0.802905,1,3,0,29.9797,-2.32208
-29.7341,1,0.802905,1,1,0,29.8593,-2.43696
-30.8593,0.835354,0.802905,2,7,0,30.8683,-1.97645
-30.8593,0.310779,0.802905,1,1,0,32.7651,-1.97645
-29.636,1,0.802905,1,3,0,30.6539,-2.57636
-29.636,0.621378,0.802905,2,7,0,32.4572,-2.57636
-29.7791,0.954641,0.802905,1,3,0,29.9029,-2.86553
-29.6422,0.924244,0.802905,2,3,0,30.6939,-2.55914
-29.6394,0.989005,0.802905,2,3,0,29.7203,-2.69705
-29.6303,0.959589,0.802905,2,3,0,29.9603,-2.59987
-29.7649,0.971879,0.802905,1,3,0,29.7823,-2.41078
