# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = prior_mix_model
# start_datetime = 2023-01-12 14:18:24 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = examples\prior_mix\prior_mix.data.R
# init = 2 (Default)
# random
#   seed = 2910990458 (Default)
# output
#   file = examples\prior_mix\prior_mixvar.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,log_p__,log_g__,mu.1
0,-29.8401,-0.0591257,-2.90886
0,-29.6306,-0.027565,-2.59804
0,-30.5434,-0.625567,-2.06561
0,-30.5004,-0.440531,-3.19641
0,-29.7913,-0.0385217,-2.8748
0,-30.872,-0.795952,-1.97313
0,-31.236,-0.991428,-3.40087
0,-29.9649,-0.292883,-2.28651
0,-30.0268,-0.151464,-3.01236
0,-29.8825,-0.239158,-2.3313
0,-29.7685,-0.0296721,-2.8572
0,-30.6944,-0.704986,-2.02132
0,-30.9857,-0.79176,-3.33777
0,-30.1182,-0.387135,-2.216
0,-32.1261,-1.79759,-3.59305
0,-29.8058,-0.0444405,-2.8854
0,-29.628,-0.019782,-2.6182
0,-30.1639,-0.228475,-3.07339
0,-30.4951,-0.599631,-2.08059
0,-29.7328,-0.13128,-2.43814
0,-30.5888,-0.500788,-3.22459
0,-29.663,-0.000479359,-2.74458
0,-30.9961,-0.799871,-3.34052
0,-30.8986,-0.725202,-3.31451
0,-29.6961,-0.00643301,-2.78875
0,-29.7048,-0.00866187,-2.79841
0,-31.9371,-1.61388,-3.5555
0,-30.5337,-0.462997,-3.20717
0,-29.7021,-0.105919,-2.4687
0,-30.2146,-0.258481,-3.09397
0,-29.8209,-0.0507806,-2.89597
0,-30.2947,-0.307383,-3.12477
0,-31.8866,-1.27931,-1.74853
0,-31.3903,-1.04935,-1.84991
0,-31.6516,-1.34922,-3.49578
0,-29.8588,-0.223138,-2.34551
0,-29.6285,-0.0219642,-2.61221
0,-29.835,-0.206732,-2.36055
0,-29.9711,-0.122117,-2.98458
0,-31.2427,-0.996965,-3.40249
0,-29.6344,-0.034727,-2.5818
0,-31.2935,-1.03896,-3.41465
0,-31.6959,-1.38933,-3.50532
0,-30.3822,-0.53812,-2.11727
0,-29.648,-0.053244,-2.54608
0,-30.4551,-0.410285,-3.18139
0,-30.6945,-0.575095,-3.25668
0,-30.4628,-0.415431,-3.18399
0,-29.7847,-0.0358917,-2.86981
0,-29.6999,-0.00738254,-2.79304
0,-29.8874,-0.24245,-2.32843
0,-29.8681,-0.0717777,-2.92668
0,-30.0378,-0.338478,-2.25132
0,-31.1862,-0.951443,-1.89586
0,-29.9251,-0.0989807,-2.95999
0,-30.7033,-0.581408,-3.25929
0,-29.7507,-0.145306,-2.42242
0,-30.6888,-0.571008,-3.25498
0,-29.6307,-0.00649429,-2.66546
0,-30.9135,-0.736498,-3.31855
0,-30.0666,-0.173115,-3.03099
0,-30.1817,-0.424486,-2.19021
0,-30.5192,-0.612579,-2.07308
0,-29.6734,-0.0800119,-2.5037
0,-29.6691,-0.0758542,-2.50979
0,-31.104,-0.911359,-1.91523
0,-30.4985,-0.439258,-3.19579
0,-29.7894,-0.0377567,-2.87336
0,-29.9984,-0.314079,-2.26987
0,-29.6295,-0.00797027,-2.65866
0,-34.4123,-2.33748,-1.35645
0,-29.8336,-0.0562939,-2.9046
0,-29.6738,-0.0018447,-2.7606
0,-29.8307,-0.0550073,-2.90263
0,-29.6763,-0.00225143,-2.76401
0,-30.1415,-0.400938,-2.20635
0,-30.4834,-0.429113,-3.19081
0,-29.6705,-0.00135241,-2.75591
0,-30.6976,-0.706646,-2.02042
0,-35.4087,-2.72199,-1.23327
0,-31.0554,-0.846145,-3.35587
0,-31.1665,-0.934768,-3.38386
0,-30.9961,-0.799834,-3.3405
0,-29.6604,-0.067037,-2.52324
0,-30.4061,-0.551267,-2.10929
0,-32.1504,-1.39765,-1.69933
0,-29.6625,-0.00043569,-2.7438
0,-30.5442,-0.470135,-3.21052
0,-30.4847,-0.594067,-2.08384
0,-30.397,-0.372314,-3.16158
0,-29.6473,-0.000242254,-2.71588
0,-30.869,-0.794465,-1.9739
0,-29.7527,-0.0238724,-2.84412
0,-31.188,-0.95225,-3.38917
0,-31.6488,-1.34674,-3.49518
0,-32.7882,-1.67474,-1.59041
0,-30.8572,-0.788452,-1.97702
0,-29.989,-0.308178,-2.27445
0,-30.1473,-0.218817,-3.06645
0,-29.6349,-0.00335871,-2.6831
0,-29.9255,-0.0991443,-2.96018
0,-31.0803,-0.899703,-1.92093
0,-29.6349,-0.0356001,-2.57994
0,-30.8542,-0.691811,-3.30233
0,-30.2758,-0.295697,-3.11768
0,-30.5116,-0.60851,-2.07543
0,-29.6306,-0.00659735,-2.66496
0,-31.0538,-0.844893,-3.35547
0,-32.1812,-1.85241,-3.60373
0,-29.6438,-0.0480931,-2.55533
0,-29.8239,-0.19899,-2.36783
0,-30.3731,-0.356908,-3.15321
0,-30.2831,-0.482744,-2.15188
0,-29.7018,-0.0078662,-2.79512
0,-29.8788,-0.236665,-2.33348
0,-30.2276,-0.266247,-3.09907
0,-29.7511,-0.145565,-2.42213
0,-30.7204,-0.718489,-2.01401
0,-29.6312,-0.00592612,-2.66828
0,-29.9748,-0.299217,-2.28148
0,-29.8211,-0.0508773,-2.89612
0,-31.6077,-1.3099,-3.48624
0,-30.3621,-0.526966,-2.12411
0,-29.6654,-0.000718141,-2.74832
0,-30.9427,-0.758742,-3.32639
0,-29.8242,-0.199187,-2.36765
0,-36.5721,-3.15528,-1.10276
0,-30.8935,-0.721336,-3.31312
0,-29.6652,-0.000694869,-2.74799
0,-30.0387,-0.339035,-2.2509
0,-29.9344,-0.103577,-2.96511
0,-29.6747,-0.081297,-2.50185
0,-29.6308,-0.00641433,-2.66585
0,-29.8359,-0.207397,-2.35993
0,-33.5048,-3.35349,-3.83265
0,-29.8427,-0.0602671,-2.91054
0,-29.6282,-0.0106189,-2.64786
0,-30.8456,-0.68543,-3.29997
0,-29.6461,-0.0510523,-2.54996
0,-29.8956,-0.0846365,-2.94314
0,-30.4358,-0.567526,-2.09952
0,-30.6616,-0.687922,-2.03065
0,-29.9538,-0.113285,-2.97552
0,-29.6543,-6.48458e-006,-2.72979
0,-29.6586,-0.0651361,-2.52624
0,-29.6995,-0.103701,-2.47153
0,-33.0237,-2.76571,-3.75476
0,-30.0731,-0.360027,-2.23542
0,-30.4119,-0.554416,-2.10738
0,-31.1266,-0.902678,-3.37393
0,-29.6327,-0.031827,-2.58816
0,-29.7762,-0.0325856,-2.86326
0,-30.9379,-0.755077,-3.32511
0,-30.4605,-0.413912,-3.18322
0,-30.7664,-0.627006,-3.27763
0,-30.0032,-0.317085,-2.26755
0,-29.7067,-0.00918259,-2.80047
0,-29.6275,-0.0165239,-2.62778
0,-29.7842,-0.170449,-2.39587
0,-30.5969,-0.653951,-2.04952
0,-30.4061,-0.378204,-3.16473
0,-29.6675,-0.000961679,-2.75153
0,-37.9674,-3.65731,-0.960531
0,-29.7289,-0.128139,-2.44177
0,-29.8673,-0.228961,-2.34029
0,-37.867,-3.62176,-0.970322
0,-29.6335,-0.004158,-2.67802
0,-31.2282,-0.984994,-3.39897
0,-29.8977,-0.0856478,-2.94438
0,-30.6587,-0.549636,-3.24599
0,-30.9907,-0.795687,-3.3391
0,-29.682,-0.00330926,-2.77164
0,-33.1631,-1.83255,-1.53169
0,-32.2365,-1.90809,-3.61435
0,-29.6276,-0.017345,-2.62528
0,-29.6433,-0.000746843,-2.70682
0,-29.7765,-0.164806,-2.40167
0,-31.9457,-1.62211,-3.55725
0,-29.8482,-0.062738,-2.91414
0,-30.2534,-0.465864,-2.16277
0,-30.7152,-0.715782,-2.01547
0,-30.3731,-0.356897,-3.1532
0,-30.1292,-0.208379,-3.05874
0,-31.0072,-0.808441,-3.3434
0,-30.0542,-0.348561,-2.24382
0,-29.6283,-0.0104452,-2.64853
0,-29.9219,-0.265178,-2.3091
0,-30.3737,-0.533428,-2.12014
0,-29.6393,-0.00163159,-2.69672
0,-29.9732,-0.123187,-2.98566
0,-29.6893,-0.0947127,-2.48329
0,-30.4702,-0.420322,-3.18644
0,-29.669,-0.0757655,-2.50992
0,-29.6433,-0.0474508,-2.55651
0,-30.4506,-0.575596,-2.09472
0,-29.815,-0.0482812,-2.89189
0,-29.6312,-0.0288071,-2.59509
0,-29.6641,-0.0708959,-2.51725
0,-32.7943,-1.67734,-1.58942
0,-30.6089,-0.660262,-2.04598
0,-30.3245,-0.505999,-2.13715
0,-29.8662,-0.228174,-2.34099
0,-30.7849,-0.640528,-3.28291
0,-30.509,-0.446318,-3.19921
0,-31.3297,-1.06926,-3.42323
0,-29.7123,-0.114585,-2.45791
0,-30.2715,-0.293047,-3.11605
0,-32.3929,-2.06861,-3.64375
0,-31.1657,-0.934185,-3.38368
0,-30.2383,-0.272743,-3.10327
0,-29.7823,-0.169078,-2.39727
0,-30.1292,-0.208342,-3.05872
0,-29.7749,-0.0321132,-2.8623
0,-29.7021,-0.105914,-2.46871
0,-29.7056,-0.00889745,-2.79935
0,-29.8348,-0.206626,-2.36065
0,-30.1895,-0.243502,-3.08388
0,-29.8836,-0.239933,-2.33062
0,-35.7689,-2.85778,-1.19151
0,-29.7832,-0.0353319,-2.86872
0,-31.7805,-1.231,-1.76916
0,-29.897,-0.0853099,-2.94397
0,-31.5148,-1.10807,-1.82321
0,-29.6677,-0.000987624,-2.75185
0,-30.193,-0.245598,-3.08531
0,-29.69,-0.0953469,-2.48244
0,-30.8479,-0.783775,-1.97944
0,-29.6599,-0.000228841,-2.73942
0,-31.4772,-1.09039,-1.83119
0,-29.719,-0.120102,-2.45124
0,-33.6209,-3.50306,-3.85071
0,-29.9888,-0.131305,-2.99364
0,-29.6982,-0.102553,-2.473
0,-29.7002,-0.00746938,-2.79342
0,-30.0789,-0.17995,-3.0366
0,-30.5572,-0.632883,-2.06143
0,-30.8606,-0.696597,-3.3041
0,-30.1791,-0.422977,-2.19123
0,-29.8405,-0.210544,-2.35701
0,-30.4718,-0.421402,-3.18698
0,-31.3657,-1.03766,-1.8553
0,-29.6275,-0.0145876,-2.63391
0,-29.9242,-0.266711,-2.30782
0,-30.0437,-0.342134,-2.24859
0,-31.4165,-1.14284,-3.44342
0,-35.4468,-2.73643,-1.22879
0,-30.1388,-0.39934,-2.20746
0,-29.7868,-0.172388,-2.39391
0,-30.341,-0.515228,-2.13138
0,-29.7009,-0.104904,-2.46999
0,-30.9005,-0.726612,-3.31501
0,-31.3663,-1.10011,-3.4318
0,-29.9445,-0.279874,-2.29699
0,-29.8357,-0.0572008,-2.90597
0,-30.4123,-0.554638,-2.10725
0,-30.8861,-0.715776,-3.31111
0,-30.935,-0.827635,-1.9569
0,-29.8054,-0.044284,-2.88513
0,-30.3746,-0.533911,-2.11985
0,-31.6518,-1.34942,-3.49582
0,-30.6969,-0.706307,-2.02061
0,-32.7522,-2.45571,-3.70835
0,-30.6725,-0.559394,-3.25012
0,-29.9891,-0.308202,-2.27443
0,-29.6337,-0.0335804,-2.58428
0,-30.4966,-0.437965,-3.19516
0,-35.0483,-2.58449,-1.27645
0,-29.6288,-0.0228324,-2.60991
0,-30.1858,-0.241334,-3.08239
0,-30.2012,-0.435829,-2.18257
0,-29.8713,-0.0732422,-2.92863
0,-32.6932,-1.63418,-1.60586
0,-29.898,-0.0858261,-2.9446
0,-29.6278,-0.0187535,-2.62114
0,-29.7604,-0.152674,-2.41443
0,-29.753,-0.0239765,-2.84437
0,-29.8956,-0.0846589,-2.94317
0,-29.7484,-0.0223641,-2.84045
0,-30.5694,-0.63937,-2.05775
0,-30.3798,-0.36121,-3.15557
0,-30.1263,-0.206683,-3.05747
0,-29.6912,-0.00526157,-2.78297
0,-30.904,-0.812075,-1.96484
0,-29.628,-0.011441,-2.64479
0,-29.9784,-0.12591,-2.98837
0,-29.772,-0.0309797,-2.85995
0,-30.0222,-0.328866,-2.25855
0,-29.96,-0.116448,-2.97881
0,-29.693,-0.00569653,-2.78519
0,-29.9248,-0.0987981,-2.95979
0,-33.1102,-1.81048,-1.53978
0,-29.726,-0.125848,-2.44444
0,-29.6564,-0.0627531,-2.53007
0,-30.9803,-0.787607,-3.33635
0,-29.6334,-0.00424439,-2.6775
0,-30.4077,-0.379224,-3.16527
0,-29.6476,-0.000213462,-2.71662
0,-29.9314,-0.102074,-2.96345
0,-29.6352,-0.00321686,-2.68406
0,-29.8797,-0.237303,-2.33292
0,-30.1107,-0.382624,-2.21919
0,-29.6565,-5.78843e-005,-2.73367
0,-29.9711,-0.296863,-2.28335
0,-30.3217,-0.504468,-2.13811
0,-29.6387,-0.00182627,-2.69491
0,-29.8505,-0.0637609,-2.9156
0,-29.6357,-0.00297651,-2.68574
0,-29.7398,-0.0193744,-2.83279
0,-29.6975,-0.00676772,-2.7903
0,-29.8659,-0.0707702,-2.92533
0,-29.6366,-0.00258572,-2.68862
0,-32.1023,-1.77405,-3.5884
0,-35.1356,-2.61797,-1.26585
0,-29.8044,-0.0438579,-2.88439
0,-30.4164,-0.38488,-3.16826
0,-29.6501,-0.0558051,-2.54165
0,-31.1888,-0.952716,-1.89525
0,-29.7906,-0.17517,-2.3911
0,-29.6564,-0.0628039,-2.52999
0,-34.3061,-2.29564,-1.37034
0,-29.7421,-0.0201655,-2.83487
0,-30.6972,-0.577036,-3.25748
0,-29.725,-0.124994,-2.44544
0,-30.8978,-0.724574,-3.31428
0,-30.2033,-0.437044,-2.18176
0,-29.6289,-0.0232212,-2.60889
0,-29.6312,-0.00594574,-2.66818
0,-30.6805,-0.565113,-3.25252
0,-29.6278,-0.0123165,-2.64163
0,-30.4003,-0.374392,-3.16269
0,-30.3679,-0.353518,-3.15134
0,-29.8064,-0.0446797,-2.88581
0,-31.7758,-1.22888,-1.77007
0,-29.7707,-0.0304828,-2.85891
0,-29.6285,-0.0219962,-2.61213
0,-29.6281,-0.0205339,-2.6161
0,-30.5208,-0.61345,-2.07258
0,-29.8026,-0.0431157,-2.8831
0,-30.4471,-0.573681,-2.09586
0,-29.6737,-0.0803003,-2.50328
0,-29.6307,-0.0277912,-2.59749
0,-32.2018,-1.42042,-1.69006
0,-30.1602,-0.22632,-3.07186
0,-29.676,-0.00220508,-2.76364
0,-30.0476,-0.344498,-2.24683
0,-30.1274,-0.392582,-2.21218
0,-29.6997,-0.103852,-2.47134
0,-30.0437,-0.160591,-3.02038
0,-30.0457,-0.161637,-3.02128
0,-32.6963,-2.39377,-3.69855
0,-30.1439,-0.402367,-2.20536
0,-30.4459,-0.404219,-3.1783
0,-30.9676,-0.843921,-1.94866
0,-29.9174,-0.262278,-2.31152
0,-30.6052,-0.512147,-3.22968
0,-31.9404,-1.61702,-3.55617
0,-30.0497,-0.345771,-2.24589
0,-29.9417,-0.107227,-2.96908
0,-30.0207,-0.148146,-3.00937
0,-29.6956,-0.100277,-2.47595
0,-29.6276,-0.0172226,-2.62565
0,-38.0496,-3.68638,-0.952553
0,-30.6255,-0.526313,-3.23592
0,-29.7244,-0.124538,-2.44598
0,-30.7494,-0.733469,-2.00596
0,-30.305,-0.495087,-2.14402
0,-29.6507,-4.36309e-005,-2.72277
0,-29.9308,-0.101795,-2.96314
0,-32.0714,-1.74371,-3.58233
0,-30.7101,-0.713143,-2.0169
0,-29.6578,-0.000113685,-2.736
0,-33.3741,-1.91999,-1.50005
0,-30.724,-0.720353,-2.013
0,-31.1022,-0.910457,-1.91567
0,-30.1531,-0.222141,-3.06886
0,-29.6908,-0.00516977,-2.78249
0,-30.8646,-0.69962,-3.30521
0,-29.6634,-0.000509753,-2.7451
0,-30.3847,-0.364315,-3.15726
0,-31.9588,-1.31196,-1.73478
0,-31.3705,-1.03995,-1.85424
0,-29.996,-0.312521,-2.27107
0,-30.0356,-0.156166,-3.01652
0,-29.6693,-0.0760419,-2.50951
0,-29.6772,-0.00241502,-2.7653
0,-30.5196,-0.453469,-3.20264
0,-29.772,-0.161448,-2.40516
0,-31.2049,-0.965976,-3.39331
0,-30.0266,-0.151317,-3.01223
0,-33.5136,-1.97725,-1.47965
0,-30.2035,-0.437145,-2.18169
0,-29.7242,-0.12439,-2.44615
0,-29.7698,-0.159821,-2.40686
0,-34.0445,-2.19178,-1.40527
0,-30.2872,-0.302707,-3.12195
0,-30.4398,-0.40024,-3.17626
0,-30.9119,-0.73526,-3.31811
0,-31.0456,-0.838505,-3.35338
0,-30.3402,-0.33588,-3.14143
0,-29.8462,-0.214481,-2.35338
0,-29.6346,-0.00352983,-2.68197
0,-30.218,-0.445521,-2.17612
0,-29.7826,-0.0350717,-2.86822
0,-31.0177,-0.816657,-3.34615
0,-29.6672,-0.0740073,-2.51254
0,-31.1765,-0.946706,-1.89813
0,-29.6814,-0.0875619,-2.49301
0,-29.767,-0.157714,-2.40908
0,-29.9532,-0.285419,-2.2925
0,-31.5905,-1.14338,-1.80744
0,-36.2742,-3.04575,-1.13501
0,-34.3236,-2.30256,-1.36804
0,-30.1145,-0.199999,-3.0524
0,-31.7938,-1.2371,-1.76654
0,-30.1731,-0.233834,-3.07717
0,-30.9141,-0.736897,-3.31869
0,-31.1619,-0.939637,-1.90153
0,-30.0853,-0.367367,-2.2301
0,-30.44,-0.400343,-3.17631
0,-30.3314,-0.50991,-2.1347
0,-33.2002,-1.848,-1.52606
0,-30.5436,-0.625643,-2.06557
0,-29.7722,-0.0310521,-2.86011
0,-30.4718,-0.421399,-3.18698
0,-29.6738,-0.0803826,-2.50316
0,-29.7712,-0.0306779,-2.85932
0,-30.1643,-0.228703,-3.07355
0,-30.1797,-0.237706,-3.07988
0,-30.1408,-0.400493,-2.20666
0,-30.458,-0.412221,-3.18237
0,-30.741,-0.608499,-3.27029
0,-30.0344,-0.155558,-3.01599
0,-29.9363,-0.104526,-2.96615
0,-30.1444,-0.402661,-2.20516
0,-29.6907,-0.096001,-2.48157
0,-31.2228,-0.969171,-1.88739
0,-29.7062,-0.00903511,-2.79989
0,-30.2142,-0.443374,-2.17754
0,-29.8612,-0.224755,-2.34405
0,-30.2123,-0.442267,-2.17828
0,-29.9869,-0.130305,-2.99267
0,-36.0005,-2.94429,-1.16532
0,-29.7657,-0.156698,-2.41015
0,-29.6446,-0.000540483,-2.70997
0,-30.9966,-0.800261,-3.34065
0,-31.861,-1.54178,-3.53994
0,-38.4281,-3.81957,-0.916338
0,-29.6317,-0.0298785,-2.59259
0,-30.7925,-0.755578,-1.99422
0,-29.6596,-0.000214756,-2.73906
0,-29.845,-0.213689,-2.35411
0,-30.1193,-0.202722,-3.05448
0,-29.6279,-0.0194049,-2.61927
0,-29.7756,-0.0323818,-2.86285
0,-39.89,-4.32466,-0.783613
0,-30.3662,-0.529269,-2.1227
0,-31.085,-0.869519,-3.36343
0,-30.4495,-0.40662,-3.17952
0,-29.9074,-0.255673,-2.31709
0,-29.7069,-0.110065,-2.46349
0,-30.106,-0.379819,-2.22118
0,-32.0051,-1.67915,-3.56917
0,-30.0997,-0.191572,-3.04587
0,-30.1213,-0.203829,-3.05532
0,-29.8998,-0.250684,-2.32134
0,-30.8905,-0.719092,-3.31231
0,-29.6598,-0.0664583,-2.52415
0,-29.6666,-0.0734055,-2.51344
0,-29.6572,-8.33984e-005,-2.73483
0,-29.9451,-0.280249,-2.29669
0,-32.4472,-1.52807,-1.64705
0,-29.6687,-0.00111725,-2.75337
0,-31.0378,-0.832336,-3.35135
0,-30.2266,-0.450493,-2.17283
0,-29.9974,-0.135828,-2.99797
0,-31.056,-0.887759,-1.92681
0,-30.7667,-0.742356,-2.00122
0,-30.2958,-0.308076,-3.12519
0,-29.7419,-0.138474,-2.42999
0,-30.3698,-0.354758,-3.15202
0,-29.631,-0.00612865,-2.66726
0,-30.4466,-0.404681,-3.17853
0,-30.3114,-0.317792,-3.13096
0,-29.7137,-0.115702,-2.45655
0,-29.7763,-0.164607,-2.40187
0,-29.7044,-0.107939,-2.46615
0,-29.9005,-0.251167,-2.32092
0,-30.2719,-0.293248,-3.11618
0,-29.6678,-0.000995515,-2.75194
0,-29.8297,-0.203039,-2.36401
0,-29.842,-0.21163,-2.356
0,-29.7242,-0.124354,-2.4462
0,-29.644,-0.000635249,-2.70846
0,-29.6948,-0.00611623,-2.78724
0,-30.1569,-0.224372,-3.07046
0,-30.4885,-0.596117,-2.08264
0,-30.5965,-0.653722,-2.04965
0,-29.6551,-0.0613332,-2.53239
0,-31.7205,-1.41171,-3.51056
0,-32.0004,-1.33068,-1.72695
0,-30.0108,-0.321772,-2.26395
0,-30.1065,-0.380104,-2.22098
0,-32.7151,-2.4146,-3.70186
0,-29.6329,-0.0320692,-2.58762
0,-31.4495,-1.07734,-1.83711
0,-32.6237,-2.3143,-3.68569
0,-32.6082,-2.29748,-3.68293
0,-30.7104,-0.58651,-3.26138
0,-30.2195,-0.446418,-2.17553
0,-31.6108,-1.15285,-1.80325
0,-29.8086,-0.188133,-2.37827
0,-30.3419,-0.515758,-2.13105
0,-29.6285,-0.0217702,-2.61273
0,-30.7971,-0.649468,-3.28636
0,-30.0525,-0.165359,-3.02447
0,-30.2004,-0.43538,-2.18287
0,-29.9253,-0.0990567,-2.96008
0,-29.6786,-0.00266138,-2.76715
0,-29.6966,-0.00655227,-2.7893
0,-30.5375,-0.622386,-2.06743
0,-29.8669,-0.0712285,-2.92594
0,-29.7402,-0.137144,-2.43148
0,-31.6159,-1.15519,-1.80221
0,-29.882,-0.238837,-2.33158
0,-32.0662,-1.36016,-1.71473
0,-29.7097,-0.0100294,-2.80371
